heatmap_type,summarization_method,aggregation_type,simulation_name,failures,detected,undetected,undetectable,ttm,accuracy,fpr,precision,recall,f3
faster-scorecam,road_percentage,mean,icse20/DAVE2-Track1-DayNight,2,0,2,0,1,0,0,0,0,0
faster-scorecam,road_percentage,mean,icse20/DAVE2-Track1-DayNight,2,0,2,0,2,0,0,0,0,0
faster-scorecam,road_percentage,mean,icse20/DAVE2-Track1-DayNight,2,0,2,0,3,0,0,0,0,0
faster-scorecam,road_percentage,max,icse20/DAVE2-Track1-DayNight,2,0,2,0,1,0,0,0,0,0
faster-scorecam,road_percentage,max,icse20/DAVE2-Track1-DayNight,2,0,2,0,2,0,0,0,0,0
faster-scorecam,road_percentage,max,icse20/DAVE2-Track1-DayNight,2,1,1,0,3,91,9,7,50,31
faster-scorecam,total_road_attention_percentage,mean,icse20/DAVE2-Track1-DayNight,2,1,1,0,1,97,3,20,50,43
faster-scorecam,total_road_attention_percentage,mean,icse20/DAVE2-Track1-DayNight,2,1,1,0,2,97,3,20,50,43
faster-scorecam,total_road_attention_percentage,mean,icse20/DAVE2-Track1-DayNight,2,2,0,0,3,97,3,33,100,83
faster-scorecam,total_road_attention_percentage,max,icse20/DAVE2-Track1-DayNight,2,2,0,0,1,97,3,29,100,80
faster-scorecam,total_road_attention_percentage,max,icse20/DAVE2-Track1-DayNight,2,2,0,0,2,97,3,29,100,80
faster-scorecam,total_road_attention_percentage,max,icse20/DAVE2-Track1-DayNight,2,2,0,0,3,97,3,29,100,80
faster-scorecam,avg_road_attention_percentage,mean,icse20/DAVE2-Track1-DayNight,2,2,0,0,1,96,4,25,100,77
faster-scorecam,avg_road_attention_percentage,mean,icse20/DAVE2-Track1-DayNight,2,0,2,0,2,0,0,0,0,0
faster-scorecam,avg_road_attention_percentage,mean,icse20/DAVE2-Track1-DayNight,2,0,2,0,3,0,0,0,0,0
faster-scorecam,avg_road_attention_percentage,max,icse20/DAVE2-Track1-DayNight,2,2,0,0,1,95,5,20,100,71
faster-scorecam,avg_road_attention_percentage,max,icse20/DAVE2-Track1-DayNight,2,1,1,0,2,94,5,11,50,37
faster-scorecam,avg_road_attention_percentage,max,icse20/DAVE2-Track1-DayNight,2,1,1,0,3,94,5,11,50,37
faster-scorecam,road_percentage,mean,icse20/DAVE2-Track1-DayNightFog,5,4,1,0,1,92,8,25,80,66
faster-scorecam,road_percentage,mean,icse20/DAVE2-Track1-DayNightFog,5,5,0,0,2,92,8,29,100,81
faster-scorecam,road_percentage,mean,icse20/DAVE2-Track1-DayNightFog,5,5,0,0,3,92,8,29,100,81
faster-scorecam,road_percentage,max,icse20/DAVE2-Track1-DayNightFog,5,5,0,0,1,92,9,28,100,79
faster-scorecam,road_percentage,max,icse20/DAVE2-Track1-DayNightFog,5,5,0,0,2,92,9,28,100,79
faster-scorecam,road_percentage,max,icse20/DAVE2-Track1-DayNightFog,5,5,0,0,3,92,9,28,100,79
faster-scorecam,total_road_attention_percentage,mean,icse20/DAVE2-Track1-DayNightFog,5,0,5,0,1,0,0,0,0,0
faster-scorecam,total_road_attention_percentage,mean,icse20/DAVE2-Track1-DayNightFog,5,0,5,0,2,0,0,0,0,0
faster-scorecam,total_road_attention_percentage,mean,icse20/DAVE2-Track1-DayNightFog,5,0,5,0,3,0,0,0,0,0
faster-scorecam,total_road_attention_percentage,max,icse20/DAVE2-Track1-DayNightFog,5,3,2,0,1,95,3,38,60,57
faster-scorecam,total_road_attention_percentage,max,icse20/DAVE2-Track1-DayNightFog,5,3,2,0,2,95,3,38,60,57
faster-scorecam,total_road_attention_percentage,max,icse20/DAVE2-Track1-DayNightFog,5,1,4,0,3,94,3,17,20,20
faster-scorecam,avg_road_attention_percentage,mean,icse20/DAVE2-Track1-DayNightFog,5,0,5,0,1,0,0,0,0,0
faster-scorecam,avg_road_attention_percentage,mean,icse20/DAVE2-Track1-DayNightFog,5,0,5,0,2,0,0,0,0,0
faster-scorecam,avg_road_attention_percentage,mean,icse20/DAVE2-Track1-DayNightFog,5,0,5,0,3,0,0,0,0,0
faster-scorecam,avg_road_attention_percentage,max,icse20/DAVE2-Track1-DayNightFog,5,3,2,0,1,93,5,27,60,54
faster-scorecam,avg_road_attention_percentage,max,icse20/DAVE2-Track1-DayNightFog,5,3,2,0,2,93,5,27,60,54
