heatmap_type,summarization_method,aggregation_type,simulation_name,failures,detected,undetected,undetectable,ttm,accuracy,fpr,precision,recall,f3
faster-scorecam,road_percentage,mean,mutants/udacity_add_weights_regularisation_mutated0_MP_l1_3_1,5,3,2,0,1,90,8,25,60,53
faster-scorecam,road_percentage,mean,mutants/udacity_add_weights_regularisation_mutated0_MP_l1_3_1,5,5,0,0,2,92,8,36,100,85
faster-scorecam,road_percentage,mean,mutants/udacity_add_weights_regularisation_mutated0_MP_l1_3_1,4,4,0,1,3,92,8,31,100,82
faster-scorecam,road_percentage,max,mutants/udacity_add_weights_regularisation_mutated0_MP_l1_3_1,5,5,0,0,1,92,8,36,100,85
faster-scorecam,road_percentage,max,mutants/udacity_add_weights_regularisation_mutated0_MP_l1_3_1,5,5,0,0,2,92,8,36,100,85
faster-scorecam,road_percentage,max,mutants/udacity_add_weights_regularisation_mutated0_MP_l1_3_1,4,4,0,1,3,92,8,31,100,82
faster-scorecam,total_road_attention_percentage,mean,mutants/udacity_add_weights_regularisation_mutated0_MP_l1_3_1,5,0,5,0,1,0,0,0,0,0
faster-scorecam,total_road_attention_percentage,mean,mutants/udacity_add_weights_regularisation_mutated0_MP_l1_3_1,5,0,5,0,2,0,0,0,0,0
faster-scorecam,total_road_attention_percentage,mean,mutants/udacity_add_weights_regularisation_mutated0_MP_l1_3_1,4,4,0,1,3,96,4,50,100,91
faster-scorecam,total_road_attention_percentage,max,mutants/udacity_add_weights_regularisation_mutated0_MP_l1_3_1,5,5,0,0,1,96,4,56,100,93
faster-scorecam,total_road_attention_percentage,max,mutants/udacity_add_weights_regularisation_mutated0_MP_l1_3_1,5,5,0,0,2,96,4,56,100,93
faster-scorecam,total_road_attention_percentage,max,mutants/udacity_add_weights_regularisation_mutated0_MP_l1_3_1,4,4,0,1,3,96,4,50,100,91
faster-scorecam,avg_road_attention_percentage,mean,mutants/udacity_add_weights_regularisation_mutated0_MP_l1_3_1,5,5,0,0,1,96,4,56,100,93
faster-scorecam,avg_road_attention_percentage,mean,mutants/udacity_add_weights_regularisation_mutated0_MP_l1_3_1,5,5,0,0,2,96,4,56,100,93
faster-scorecam,avg_road_attention_percentage,mean,mutants/udacity_add_weights_regularisation_mutated0_MP_l1_3_1,4,4,0,1,3,96,4,50,100,91
faster-scorecam,avg_road_attention_percentage,max,mutants/udacity_add_weights_regularisation_mutated0_MP_l1_3_1,5,5,0,0,1,95,5,50,100,91
faster-scorecam,avg_road_attention_percentage,max,mutants/udacity_add_weights_regularisation_mutated0_MP_l1_3_1,5,5,0,0,2,95,5,50,100,91
faster-scorecam,avg_road_attention_percentage,max,mutants/udacity_add_weights_regularisation_mutated0_MP_l1_3_1,4,4,0,1,3,95,5,44,100,89
faster-scorecam,road_percentage,mean,mutants/udacity_add_weights_regularisation_mutated0_MP_l1_l2_3_2,19,0,19,3,1,0,0,0,0,0
faster-scorecam,road_percentage,mean,mutants/udacity_add_weights_regularisation_mutated0_MP_l1_l2_3_2,19,19,0,3,2,93,8,68,100,95
faster-scorecam,road_percentage,mean,mutants/udacity_add_weights_regularisation_mutated0_MP_l1_l2_3_2,19,19,0,3,3,93,8,68,100,95
faster-scorecam,road_percentage,max,mutants/udacity_add_weights_regularisation_mutated0_MP_l1_l2_3_2,19,19,0,3,1,93,8,68,100,95
faster-scorecam,road_percentage,max,mutants/udacity_add_weights_regularisation_mutated0_MP_l1_l2_3_2,19,19,0,3,2,93,8,68,100,95
faster-scorecam,road_percentage,max,mutants/udacity_add_weights_regularisation_mutated0_MP_l1_l2_3_2,19,19,0,3,3,93,8,68,100,95
faster-scorecam,total_road_attention_percentage,mean,mutants/udacity_add_weights_regularisation_mutated0_MP_l1_l2_3_2,19,19,0,3,1,97,4,83,100,98
faster-scorecam,total_road_attention_percentage,mean,mutants/udacity_add_weights_regularisation_mutated0_MP_l1_l2_3_2,19,15,4,3,2,94,4,79,79,79
faster-scorecam,total_road_attention_percentage,mean,mutants/udacity_add_weights_regularisation_mutated0_MP_l1_l2_3_2,19,0,19,3,3,0,0,0,0,0
faster-scorecam,total_road_attention_percentage,max,mutants/udacity_add_weights_regularisation_mutated0_MP_l1_l2_3_2,19,19,0,3,1,97,4,83,100,98
faster-scorecam,total_road_attention_percentage,max,mutants/udacity_add_weights_regularisation_mutated0_MP_l1_l2_3_2,19,19,0,3,2,97,4,83,100,98
faster-scorecam,total_road_attention_percentage,max,mutants/udacity_add_weights_regularisation_mutated0_MP_l1_l2_3_2,19,19,0,3,3,97,4,83,100,98
faster-scorecam,avg_road_attention_percentage,mean,mutants/udacity_add_weights_regularisation_mutated0_MP_l1_l2_3_2,19,18,1,3,1,96,4,82,95,93
faster-scorecam,avg_road_attention_percentage,mean,mutants/udacity_add_weights_regularisation_mutated0_MP_l1_l2_3_2,19,19,0,3,2,97,4,83,100,98
faster-scorecam,avg_road_attention_percentage,mean,mutants/udacity_add_weights_regularisation_mutated0_MP_l1_l2_3_2,19,19,0,3,3,97,4,83,100,98
faster-scorecam,avg_road_attention_percentage,max,mutants/udacity_add_weights_regularisation_mutated0_MP_l1_l2_3_2,19,19,0,3,1,96,5,79,100,97
faster-scorecam,avg_road_attention_percentage,max,mutants/udacity_add_weights_regularisation_mutated0_MP_l1_l2_3_2,19,19,0,3,2,96,5,79,100,97
faster-scorecam,avg_road_attention_percentage,max,mutants/udacity_add_weights_regularisation_mutated0_MP_l1_l2_3_2,19,19,0,3,3,96,5,79,100,97
faster-scorecam,road_percentage,mean,mutants/udacity_add_weights_regularisation_mutated0_MP_l2_3_0,16,0,16,3,1,0,0,0,0,0
faster-scorecam,road_percentage,mean,mutants/udacity_add_weights_regularisation_mutated0_MP_l2_3_0,16,15,1,3,2,92,8,62,94,89
faster-scorecam,road_percentage,mean,mutants/udacity_add_weights_regularisation_mutated0_MP_l2_3_0,16,16,0,3,3,93,8,64,100,95
faster-scorecam,road_percentage,max,mutants/udacity_add_weights_regularisation_mutated0_MP_l2_3_0,16,16,0,3,1,93,8,64,100,95
faster-scorecam,road_percentage,max,mutants/udacity_add_weights_regularisation_mutated0_MP_l2_3_0,16,15,1,3,2,92,8,62,94,89
faster-scorecam,road_percentage,max,mutants/udacity_add_weights_regularisation_mutated0_MP_l2_3_0,16,16,0,3,3,93,8,64,100,95
faster-scorecam,total_road_attention_percentage,mean,mutants/udacity_add_weights_regularisation_mutated0_MP_l2_3_0,16,16,0,3,1,97,4,80,100,98
faster-scorecam,total_road_attention_percentage,mean,mutants/udacity_add_weights_regularisation_mutated0_MP_l2_3_0,16,5,11,3,2,88,4,56,31,33
faster-scorecam,total_road_attention_percentage,mean,mutants/udacity_add_weights_regularisation_mutated0_MP_l2_3_0,16,1,15,3,3,84,4,20,6,7
faster-scorecam,total_road_attention_percentage,max,mutants/udacity_add_weights_regularisation_mutated0_MP_l2_3_0,16,16,0,3,1,97,4,80,100,98
faster-scorecam,total_road_attention_percentage,max,mutants/udacity_add_weights_regularisation_mutated0_MP_l2_3_0,16,16,0,3,2,97,4,80,100,98
faster-scorecam,total_road_attention_percentage,max,mutants/udacity_add_weights_regularisation_mutated0_MP_l2_3_0,16,16,0,3,3,97,4,80,100,98
faster-scorecam,avg_road_attention_percentage,mean,mutants/udacity_add_weights_regularisation_mutated0_MP_l2_3_0,16,0,16,3,1,0,0,0,0,0
faster-scorecam,avg_road_attention_percentage,mean,mutants/udacity_add_weights_regularisation_mutated0_MP_l2_3_0,16,0,16,3,2,0,0,0,0,0
faster-scorecam,avg_road_attention_percentage,mean,mutants/udacity_add_weights_regularisation_mutated0_MP_l2_3_0,16,16,0,3,3,97,4,80,100,98
faster-scorecam,avg_road_attention_percentage,max,mutants/udacity_add_weights_regularisation_mutated0_MP_l2_3_0,16,15,1,3,1,95,5,75,94,91
faster-scorecam,avg_road_attention_percentage,max,mutants/udacity_add_weights_regularisation_mutated0_MP_l2_3_0,16,15,1,3,2,95,5,75,94,91
faster-scorecam,avg_road_attention_percentage,max,mutants/udacity_add_weights_regularisation_mutated0_MP_l2_3_0,16,16,0,3,3,96,5,76,100,97
faster-scorecam,road_percentage,mean,mutants/udacity_change_activation_function_mutated0_MP_exponential_4_0,12,0,12,3,1,0,0,0,0,0
faster-scorecam,road_percentage,mean,mutants/udacity_change_activation_function_mutated0_MP_exponential_4_0,12,12,0,3,2,92,8,57,100,93
faster-scorecam,road_percentage,mean,mutants/udacity_change_activation_function_mutated0_MP_exponential_4_0,12,12,0,3,3,92,8,57,100,93
faster-scorecam,road_percentage,max,mutants/udacity_change_activation_function_mutated0_MP_exponential_4_0,12,12,0,3,1,92,8,57,100,93
faster-scorecam,road_percentage,max,mutants/udacity_change_activation_function_mutated0_MP_exponential_4_0,12,12,0,3,2,92,8,57,100,93
faster-scorecam,road_percentage,max,mutants/udacity_change_activation_function_mutated0_MP_exponential_4_0,12,12,0,3,3,92,8,57,100,93
faster-scorecam,total_road_attention_percentage,mean,mutants/udacity_change_activation_function_mutated0_MP_exponential_4_0,12,12,0,3,1,97,4,75,100,97
faster-scorecam,total_road_attention_percentage,mean,mutants/udacity_change_activation_function_mutated0_MP_exponential_4_0,12,0,12,3,2,0,0,0,0,0
faster-scorecam,total_road_attention_percentage,mean,mutants/udacity_change_activation_function_mutated0_MP_exponential_4_0,12,0,12,3,3,0,0,0,0,0
faster-scorecam,total_road_attention_percentage,max,mutants/udacity_change_activation_function_mutated0_MP_exponential_4_0,12,12,0,3,1,97,4,75,100,97
faster-scorecam,total_road_attention_percentage,max,mutants/udacity_change_activation_function_mutated0_MP_exponential_4_0,12,10,2,3,2,95,4,71,83,82
faster-scorecam,total_road_attention_percentage,max,mutants/udacity_change_activation_function_mutated0_MP_exponential_4_0,12,3,9,3,3,89,4,43,25,26
faster-scorecam,avg_road_attention_percentage,mean,mutants/udacity_change_activation_function_mutated0_MP_exponential_4_0,12,0,12,3,1,0,0,0,0,0
faster-scorecam,avg_road_attention_percentage,mean,mutants/udacity_change_activation_function_mutated0_MP_exponential_4_0,12,9,3,3,2,94,4,69,75,74
faster-scorecam,avg_road_attention_percentage,mean,mutants/udacity_change_activation_function_mutated0_MP_exponential_4_0,12,12,0,3,3,97,4,75,100,97
faster-scorecam,avg_road_attention_percentage,max,mutants/udacity_change_activation_function_mutated0_MP_exponential_4_0,12,11,1,3,1,95,5,69,92,89
faster-scorecam,avg_road_attention_percentage,max,mutants/udacity_change_activation_function_mutated0_MP_exponential_4_0,12,12,0,3,2,96,5,71,100,96
faster-scorecam,avg_road_attention_percentage,max,mutants/udacity_change_activation_function_mutated0_MP_exponential_4_0,12,12,0,3,3,96,5,71,100,96
faster-scorecam,road_percentage,mean,mutants/udacity_change_activation_function_mutated0_MP_hard_sigmoid_4_0,7,1,6,1,1,87,8,10,14,14
faster-scorecam,road_percentage,mean,mutants/udacity_change_activation_function_mutated0_MP_hard_sigmoid_4_0,7,6,1,1,2,91,8,40,86,77
faster-scorecam,road_percentage,mean,mutants/udacity_change_activation_function_mutated0_MP_hard_sigmoid_4_0,7,7,0,1,3,92,8,44,100,89
faster-scorecam,road_percentage,max,mutants/udacity_change_activation_function_mutated0_MP_hard_sigmoid_4_0,7,7,0,1,1,92,8,44,100,89
faster-scorecam,road_percentage,max,mutants/udacity_change_activation_function_mutated0_MP_hard_sigmoid_4_0,7,7,0,1,2,92,8,44,100,89
faster-scorecam,road_percentage,max,mutants/udacity_change_activation_function_mutated0_MP_hard_sigmoid_4_0,7,7,0,1,3,92,8,44,100,89
faster-scorecam,total_road_attention_percentage,mean,mutants/udacity_change_activation_function_mutated0_MP_hard_sigmoid_4_0,7,7,0,1,1,96,4,64,100,95
faster-scorecam,total_road_attention_percentage,mean,mutants/udacity_change_activation_function_mutated0_MP_hard_sigmoid_4_0,7,7,0,1,2,96,4,64,100,95
faster-scorecam,total_road_attention_percentage,mean,mutants/udacity_change_activation_function_mutated0_MP_hard_sigmoid_4_0,7,7,0,1,3,96,4,64,100,95
faster-scorecam,total_road_attention_percentage,max,mutants/udacity_change_activation_function_mutated0_MP_hard_sigmoid_4_0,7,7,0,1,1,96,4,64,100,95
faster-scorecam,total_road_attention_percentage,max,mutants/udacity_change_activation_function_mutated0_MP_hard_sigmoid_4_0,7,7,0,1,2,96,4,64,100,95
faster-scorecam,total_road_attention_percentage,max,mutants/udacity_change_activation_function_mutated0_MP_hard_sigmoid_4_0,7,7,0,1,3,96,4,64,100,95
faster-scorecam,avg_road_attention_percentage,mean,mutants/udacity_change_activation_function_mutated0_MP_hard_sigmoid_4_0,7,7,0,1,1,96,4,64,100,95
faster-scorecam,avg_road_attention_percentage,mean,mutants/udacity_change_activation_function_mutated0_MP_hard_sigmoid_4_0,7,7,0,1,2,96,4,64,100,95
faster-scorecam,avg_road_attention_percentage,mean,mutants/udacity_change_activation_function_mutated0_MP_hard_sigmoid_4_0,7,7,0,1,3,96,4,64,100,95
faster-scorecam,avg_road_attention_percentage,max,mutants/udacity_change_activation_function_mutated0_MP_hard_sigmoid_4_0,7,7,0,1,1,96,5,58,100,93
faster-scorecam,avg_road_attention_percentage,max,mutants/udacity_change_activation_function_mutated0_MP_hard_sigmoid_4_0,7,7,0,1,2,96,5,58,100,93
faster-scorecam,avg_road_attention_percentage,max,mutants/udacity_change_activation_function_mutated0_MP_hard_sigmoid_4_0,7,7,0,1,3,96,5,58,100,93
faster-scorecam,road_percentage,mean,mutants/udacity_change_activation_function_mutated0_MP_relu_4_2,16,0,16,2,1,0,0,0,0,0
faster-scorecam,road_percentage,mean,mutants/udacity_change_activation_function_mutated0_MP_relu_4_2,16,16,0,2,2,93,8,64,100,95
faster-scorecam,road_percentage,mean,mutants/udacity_change_activation_function_mutated0_MP_relu_4_2,14,14,0,4,3,92,8,61,100,94
faster-scorecam,road_percentage,max,mutants/udacity_change_activation_function_mutated0_MP_relu_4_2,16,15,1,2,1,92,8,62,94,89
faster-scorecam,road_percentage,max,mutants/udacity_change_activation_function_mutated0_MP_relu_4_2,16,16,0,2,2,93,8,64,100,95
faster-scorecam,road_percentage,max,mutants/udacity_change_activation_function_mutated0_MP_relu_4_2,14,14,0,4,3,92,8,61,100,94
faster-scorecam,total_road_attention_percentage,mean,mutants/udacity_change_activation_function_mutated0_MP_relu_4_2,16,16,0,2,1,97,4,80,100,98
faster-scorecam,total_road_attention_percentage,mean,mutants/udacity_change_activation_function_mutated0_MP_relu_4_2,16,14,2,2,2,95,4,78,88,86
faster-scorecam,total_road_attention_percentage,mean,mutants/udacity_change_activation_function_mutated0_MP_relu_4_2,14,0,14,4,3,0,0,0,0,0
faster-scorecam,total_road_attention_percentage,max,mutants/udacity_change_activation_function_mutated0_MP_relu_4_2,16,16,0,2,1,97,4,80,100,98
faster-scorecam,total_road_attention_percentage,max,mutants/udacity_change_activation_function_mutated0_MP_relu_4_2,16,16,0,2,2,97,4,80,100,98
faster-scorecam,total_road_attention_percentage,max,mutants/udacity_change_activation_function_mutated0_MP_relu_4_2,14,14,0,4,3,97,4,78,100,97
faster-scorecam,avg_road_attention_percentage,mean,mutants/udacity_change_activation_function_mutated0_MP_relu_4_2,16,16,0,2,1,97,4,80,100,98
faster-scorecam,avg_road_attention_percentage,mean,mutants/udacity_change_activation_function_mutated0_MP_relu_4_2,16,16,0,2,2,97,4,80,100,98
faster-scorecam,avg_road_attention_percentage,mean,mutants/udacity_change_activation_function_mutated0_MP_relu_4_2,14,14,0,4,3,97,4,78,100,97
faster-scorecam,avg_road_attention_percentage,max,mutants/udacity_change_activation_function_mutated0_MP_relu_4_2,16,16,0,2,1,96,5,76,100,97
faster-scorecam,avg_road_attention_percentage,max,mutants/udacity_change_activation_function_mutated0_MP_relu_4_2,16,16,0,2,2,96,5,76,100,97
faster-scorecam,avg_road_attention_percentage,max,mutants/udacity_change_activation_function_mutated0_MP_relu_4_2,14,14,0,4,3,96,5,74,100,97
faster-scorecam,road_percentage,mean,mutants/udacity_change_activation_function_mutated0_MP_selu_4_0,7,0,7,0,1,0,0,0,0,0
faster-scorecam,road_percentage,mean,mutants/udacity_change_activation_function_mutated0_MP_selu_4_0,7,5,2,0,2,90,8,36,71,65
faster-scorecam,road_percentage,mean,mutants/udacity_change_activation_function_mutated0_MP_selu_4_0,7,7,0,0,3,92,8,44,100,89
faster-scorecam,road_percentage,max,mutants/udacity_change_activation_function_mutated0_MP_selu_4_0,7,4,3,0,1,89,8,31,57,53
faster-scorecam,road_percentage,max,mutants/udacity_change_activation_function_mutated0_MP_selu_4_0,7,7,0,0,2,92,8,44,100,89
faster-scorecam,road_percentage,max,mutants/udacity_change_activation_function_mutated0_MP_selu_4_0,7,7,0,0,3,92,8,44,100,89
faster-scorecam,total_road_attention_percentage,mean,mutants/udacity_change_activation_function_mutated0_MP_selu_4_0,7,7,0,0,1,96,4,64,100,95
faster-scorecam,total_road_attention_percentage,mean,mutants/udacity_change_activation_function_mutated0_MP_selu_4_0,7,7,0,0,2,96,4,64,100,95
faster-scorecam,total_road_attention_percentage,mean,mutants/udacity_change_activation_function_mutated0_MP_selu_4_0,7,1,6,0,3,91,4,20,14,15
faster-scorecam,total_road_attention_percentage,max,mutants/udacity_change_activation_function_mutated0_MP_selu_4_0,7,7,0,0,1,96,4,64,100,95
faster-scorecam,total_road_attention_percentage,max,mutants/udacity_change_activation_function_mutated0_MP_selu_4_0,7,7,0,0,2,96,4,64,100,95
faster-scorecam,total_road_attention_percentage,max,mutants/udacity_change_activation_function_mutated0_MP_selu_4_0,7,7,0,0,3,96,4,64,100,95
faster-scorecam,avg_road_attention_percentage,mean,mutants/udacity_change_activation_function_mutated0_MP_selu_4_0,7,1,6,0,1,91,4,20,14,15
faster-scorecam,avg_road_attention_percentage,mean,mutants/udacity_change_activation_function_mutated0_MP_selu_4_0,7,7,0,0,2,96,4,64,100,95
faster-scorecam,avg_road_attention_percentage,mean,mutants/udacity_change_activation_function_mutated0_MP_selu_4_0,7,7,0,0,3,96,4,64,100,95
faster-scorecam,avg_road_attention_percentage,max,mutants/udacity_change_activation_function_mutated0_MP_selu_4_0,7,7,0,0,1,96,5,58,100,93
faster-scorecam,avg_road_attention_percentage,max,mutants/udacity_change_activation_function_mutated0_MP_selu_4_0,7,7,0,0,2,96,5,58,100,93
faster-scorecam,avg_road_attention_percentage,max,mutants/udacity_change_activation_function_mutated0_MP_selu_4_0,7,7,0,0,3,96,5,58,100,93
faster-scorecam,road_percentage,mean,mutants/udacity_change_activation_function_mutated0_MP_sigmoid_4_3,12,0,12,3,1,0,0,0,0,0
faster-scorecam,road_percentage,mean,mutants/udacity_change_activation_function_mutated0_MP_sigmoid_4_3,12,12,0,3,2,92,8,57,100,93
faster-scorecam,road_percentage,mean,mutants/udacity_change_activation_function_mutated0_MP_sigmoid_4_3,11,11,0,4,3,92,8,55,100,92
