heatmap_type,summarization_method,aggregation_type,simulation_name,failures,detected,undetected,undetectable,ttm,accuracy,fpr,precision,recall,f3
faster-scorecam,road_percentage,mean,ood/xai-track1-day-night,2,0,2,1,1,0,0,0,0,0
faster-scorecam,road_percentage,mean,ood/xai-track1-day-night,2,2,0,1,2,92,8,18,100,69
faster-scorecam,road_percentage,mean,ood/xai-track1-day-night,3,0,3,0,3,0,0,0,0,0
faster-scorecam,road_percentage,max,ood/xai-track1-day-night,2,0,2,1,1,0,0,0,0,0
faster-scorecam,road_percentage,max,ood/xai-track1-day-night,2,2,0,1,2,92,8,18,100,69
faster-scorecam,road_percentage,max,ood/xai-track1-day-night,3,2,1,0,3,91,8,18,67,53
faster-scorecam,total_road_attention_percentage,mean,ood/xai-track1-day-night,2,2,0,1,1,96,4,33,100,83
faster-scorecam,total_road_attention_percentage,mean,ood/xai-track1-day-night,2,0,2,1,2,0,0,0,0,0
faster-scorecam,total_road_attention_percentage,mean,ood/xai-track1-day-night,3,2,1,0,3,95,4,33,67,61
faster-scorecam,total_road_attention_percentage,max,ood/xai-track1-day-night,2,2,0,1,1,96,4,33,100,83
faster-scorecam,total_road_attention_percentage,max,ood/xai-track1-day-night,2,1,1,1,2,95,4,20,50,43
faster-scorecam,total_road_attention_percentage,max,ood/xai-track1-day-night,3,3,0,0,3,96,4,43,100,88
faster-scorecam,avg_road_attention_percentage,mean,ood/xai-track1-day-night,2,0,2,1,1,0,0,0,0,0
faster-scorecam,avg_road_attention_percentage,mean,ood/xai-track1-day-night,2,0,2,1,2,0,0,0,0,0
faster-scorecam,avg_road_attention_percentage,mean,ood/xai-track1-day-night,3,0,3,0,3,0,0,0,0,0
faster-scorecam,avg_road_attention_percentage,max,ood/xai-track1-day-night,2,2,0,1,1,95,5,29,100,80
faster-scorecam,avg_road_attention_percentage,max,ood/xai-track1-day-night,2,2,0,1,2,95,5,29,100,80
faster-scorecam,avg_road_attention_percentage,max,ood/xai-track1-day-night,3,3,0,0,3,95,5,38,100,86
faster-scorecam,road_percentage,mean,ood/xai-track1-fog-10,2,0,2,1,1,0,0,0,0,0
faster-scorecam,road_percentage,mean,ood/xai-track1-fog-10,2,0,2,1,2,0,0,0,0,0
faster-scorecam,road_percentage,mean,ood/xai-track1-fog-10,3,0,3,0,3,0,0,0,0,0
faster-scorecam,road_percentage,max,ood/xai-track1-fog-10,2,0,2,1,1,0,0,0,0,0
faster-scorecam,road_percentage,max,ood/xai-track1-fog-10,2,1,1,1,2,91,8,10,50,36
faster-scorecam,road_percentage,max,ood/xai-track1-fog-10,3,3,0,0,3,92,8,25,100,77
faster-scorecam,total_road_attention_percentage,mean,ood/xai-track1-fog-10,2,2,0,1,1,96,4,33,100,83
faster-scorecam,total_road_attention_percentage,mean,ood/xai-track1-fog-10,2,2,0,1,2,96,4,33,100,83
faster-scorecam,total_road_attention_percentage,mean,ood/xai-track1-fog-10,3,2,1,0,3,95,4,33,67,61
faster-scorecam,total_road_attention_percentage,max,ood/xai-track1-fog-10,2,2,0,1,1,96,4,33,100,83
faster-scorecam,total_road_attention_percentage,max,ood/xai-track1-fog-10,2,2,0,1,2,96,4,33,100,83
faster-scorecam,total_road_attention_percentage,max,ood/xai-track1-fog-10,3,3,0,0,3,96,4,43,100,88
faster-scorecam,avg_road_attention_percentage,mean,ood/xai-track1-fog-10,2,0,2,1,1,0,0,0,0,0
faster-scorecam,avg_road_attention_percentage,mean,ood/xai-track1-fog-10,2,0,2,1,2,0,0,0,0,0
faster-scorecam,avg_road_attention_percentage,mean,ood/xai-track1-fog-10,3,0,3,0,3,0,0,0,0,0
faster-scorecam,avg_road_attention_percentage,max,ood/xai-track1-fog-10,2,2,0,1,1,95,5,29,100,80
faster-scorecam,avg_road_attention_percentage,max,ood/xai-track1-fog-10,2,0,2,1,2,0,0,0,0,0
faster-scorecam,avg_road_attention_percentage,max,ood/xai-track1-fog-10,3,2,1,0,3,94,5,29,67,59
faster-scorecam,road_percentage,mean,ood/xai-track1-fog-100,4,0,4,0,1,0,0,0,0,0
faster-scorecam,road_percentage,mean,ood/xai-track1-fog-100,4,1,3,0,2,89,8,10,25,22
faster-scorecam,road_percentage,mean,ood/xai-track1-fog-100,4,2,2,0,3,90,8,18,50,43
faster-scorecam,road_percentage,max,ood/xai-track1-fog-100,4,4,0,0,1,92,8,31,100,82
faster-scorecam,road_percentage,max,ood/xai-track1-fog-100,4,4,0,0,2,92,8,31,100,82
faster-scorecam,road_percentage,max,ood/xai-track1-fog-100,4,4,0,0,3,92,8,31,100,82
faster-scorecam,total_road_attention_percentage,mean,ood/xai-track1-fog-100,4,4,0,0,1,96,4,50,100,91
faster-scorecam,total_road_attention_percentage,mean,ood/xai-track1-fog-100,4,0,4,0,2,0,0,0,0,0
faster-scorecam,total_road_attention_percentage,mean,ood/xai-track1-fog-100,4,0,4,0,3,0,0,0,0,0
faster-scorecam,total_road_attention_percentage,max,ood/xai-track1-fog-100,4,4,0,0,1,96,4,50,100,91
faster-scorecam,total_road_attention_percentage,max,ood/xai-track1-fog-100,4,4,0,0,2,96,4,50,100,91
faster-scorecam,total_road_attention_percentage,max,ood/xai-track1-fog-100,4,4,0,0,3,96,4,50,100,91
faster-scorecam,avg_road_attention_percentage,mean,ood/xai-track1-fog-100,4,0,4,0,1,0,0,0,0,0
faster-scorecam,avg_road_attention_percentage,mean,ood/xai-track1-fog-100,4,0,4,0,2,0,0,0,0,0
faster-scorecam,avg_road_attention_percentage,mean,ood/xai-track1-fog-100,4,0,4,0,3,0,0,0,0,0
faster-scorecam,avg_road_attention_percentage,max,ood/xai-track1-fog-100,4,0,4,0,1,0,0,0,0,0
faster-scorecam,avg_road_attention_percentage,max,ood/xai-track1-fog-100,4,0,4,0,2,0,0,0,0,0
faster-scorecam,avg_road_attention_percentage,max,ood/xai-track1-fog-100,4,0,4,0,3,0,0,0,0,0
faster-scorecam,road_percentage,mean,ood/xai-track1-fog-20,4,0,4,1,1,0,0,0,0,0
faster-scorecam,road_percentage,mean,ood/xai-track1-fog-20,4,1,3,1,2,89,8,10,25,22
faster-scorecam,road_percentage,mean,ood/xai-track1-fog-20,5,5,0,0,3,92,8,36,100,85
faster-scorecam,road_percentage,max,ood/xai-track1-fog-20,4,4,0,1,1,92,8,31,100,82
faster-scorecam,road_percentage,max,ood/xai-track1-fog-20,4,4,0,1,2,92,8,31,100,82
faster-scorecam,road_percentage,max,ood/xai-track1-fog-20,5,5,0,0,3,92,8,36,100,85
faster-scorecam,total_road_attention_percentage,mean,ood/xai-track1-fog-20,4,4,0,1,1,96,4,50,100,91
faster-scorecam,total_road_attention_percentage,mean,ood/xai-track1-fog-20,4,0,4,1,2,0,0,0,0,0
faster-scorecam,total_road_attention_percentage,mean,ood/xai-track1-fog-20,5,0,5,0,3,0,0,0,0,0
faster-scorecam,total_road_attention_percentage,max,ood/xai-track1-fog-20,4,4,0,1,1,96,4,50,100,91
faster-scorecam,total_road_attention_percentage,max,ood/xai-track1-fog-20,4,4,0,1,2,96,4,50,100,91
faster-scorecam,total_road_attention_percentage,max,ood/xai-track1-fog-20,5,2,3,0,3,94,4,33,40,39
faster-scorecam,avg_road_attention_percentage,mean,ood/xai-track1-fog-20,4,0,4,1,1,0,0,0,0,0
faster-scorecam,avg_road_attention_percentage,mean,ood/xai-track1-fog-20,4,0,4,1,2,0,0,0,0,0
faster-scorecam,avg_road_attention_percentage,mean,ood/xai-track1-fog-20,5,0,5,0,3,0,0,0,0,0
faster-scorecam,avg_road_attention_percentage,max,ood/xai-track1-fog-20,4,0,4,1,1,0,0,0,0,0
faster-scorecam,avg_road_attention_percentage,max,ood/xai-track1-fog-20,4,0,4,1,2,0,0,0,0,0
faster-scorecam,avg_road_attention_percentage,max,ood/xai-track1-fog-20,5,4,1,0,3,95,5,44,80,74
faster-scorecam,road_percentage,mean,ood/xai-track1-fog-40,3,0,3,0,1,0,0,0,0,0
faster-scorecam,road_percentage,mean,ood/xai-track1-fog-40,3,0,3,0,2,0,0,0,0,0
faster-scorecam,road_percentage,mean,ood/xai-track1-fog-40,3,3,0,0,3,92,8,25,100,77
faster-scorecam,road_percentage,max,ood/xai-track1-fog-40,3,3,0,0,1,92,8,25,100,77
faster-scorecam,road_percentage,max,ood/xai-track1-fog-40,3,2,1,0,2,91,8,18,67,53
faster-scorecam,road_percentage,max,ood/xai-track1-fog-40,3,3,0,0,3,92,8,25,100,77
faster-scorecam,total_road_attention_percentage,mean,ood/xai-track1-fog-40,3,3,0,0,1,96,4,43,100,88
faster-scorecam,total_road_attention_percentage,mean,ood/xai-track1-fog-40,3,3,0,0,2,96,4,43,100,88
faster-scorecam,total_road_attention_percentage,mean,ood/xai-track1-fog-40,3,0,3,0,3,0,0,0,0,0
faster-scorecam,total_road_attention_percentage,max,ood/xai-track1-fog-40,3,3,0,0,1,96,4,43,100,88
faster-scorecam,total_road_attention_percentage,max,ood/xai-track1-fog-40,3,3,0,0,2,96,4,43,100,88
faster-scorecam,total_road_attention_percentage,max,ood/xai-track1-fog-40,3,1,2,0,3,94,4,20,33,31
faster-scorecam,avg_road_attention_percentage,mean,ood/xai-track1-fog-40,3,0,3,0,1,0,0,0,0,0
faster-scorecam,avg_road_attention_percentage,mean,ood/xai-track1-fog-40,3,0,3,0,2,0,0,0,0,0
