heatmap_type,summarization_method,aggregation_type,simulation_name,failures,detected,undetected,undetectable,ttm,accuracy,fpr,precision,recall,f3
smoothgrad,total_road_attention_percentage,mean,icse20/DAVE2-Track1-DayNight,2,0,2,0,1,0,0,0,0,0
smoothgrad,total_road_attention_percentage,mean,icse20/DAVE2-Track1-DayNight,2,0,2,0,2,0,0,0,0,0
smoothgrad,total_road_attention_percentage,mean,icse20/DAVE2-Track1-DayNight,2,0,2,0,3,0,0,0,0,0
smoothgrad,total_road_attention_percentage,max,icse20/DAVE2-Track1-DayNight,2,0,2,0,1,0,0,0,0,0
smoothgrad,total_road_attention_percentage,max,icse20/DAVE2-Track1-DayNight,2,0,2,0,2,0,0,0,0,0
smoothgrad,total_road_attention_percentage,max,icse20/DAVE2-Track1-DayNight,2,2,0,0,3,92,8,14,100,62
smoothgrad,total_road_attention_percentage,mean,icse20/DAVE2-Track1-DayNightFog,5,0,5,0,1,0,0,0,0,0
smoothgrad,total_road_attention_percentage,mean,icse20/DAVE2-Track1-DayNightFog,5,0,5,0,2,0,0,0,0,0
smoothgrad,total_road_attention_percentage,mean,icse20/DAVE2-Track1-DayNightFog,5,0,5,0,3,0,0,0,0,0
smoothgrad,total_road_attention_percentage,max,icse20/DAVE2-Track1-DayNightFog,5,0,5,0,1,0,0,0,0,0
smoothgrad,total_road_attention_percentage,max,icse20/DAVE2-Track1-DayNightFog,5,0,5,0,2,0,0,0,0,0
smoothgrad,total_road_attention_percentage,max,icse20/DAVE2-Track1-DayNightFog,5,0,5,0,3,0,0,0,0,0
smoothgrad,total_road_attention_percentage,mean,icse20/DAVE2-Track1-DayNightRain,2,0,2,0,1,0,0,0,0,0
smoothgrad,total_road_attention_percentage,mean,icse20/DAVE2-Track1-DayNightRain,2,0,2,0,2,0,0,0,0,0
smoothgrad,total_road_attention_percentage,mean,icse20/DAVE2-Track1-DayNightRain,2,0,2,0,3,0,0,0,0,0
smoothgrad,total_road_attention_percentage,max,icse20/DAVE2-Track1-DayNightRain,2,2,0,0,1,92,8,14,100,62
smoothgrad,total_road_attention_percentage,max,icse20/DAVE2-Track1-DayNightRain,2,0,2,0,2,0,0,0,0,0
smoothgrad,total_road_attention_percentage,max,icse20/DAVE2-Track1-DayNightRain,2,0,2,0,3,0,0,0,0,0
smoothgrad,total_road_attention_percentage,mean,icse20/DAVE2-Track1-DayNightSnow,4,0,4,1,1,0,0,0,0,0
smoothgrad,total_road_attention_percentage,mean,icse20/DAVE2-Track1-DayNightSnow,3,0,3,2,2,0,0,0,0,0
smoothgrad,total_road_attention_percentage,mean,icse20/DAVE2-Track1-DayNightSnow,4,0,4,1,3,0,0,0,0,0
smoothgrad,total_road_attention_percentage,max,icse20/DAVE2-Track1-DayNightSnow,4,2,2,1,1,91,8,14,50,40
smoothgrad,total_road_attention_percentage,max,icse20/DAVE2-Track1-DayNightSnow,3,1,2,2,2,91,8,8,33,25
smoothgrad,total_road_attention_percentage,max,icse20/DAVE2-Track1-DayNightSnow,4,2,2,1,3,91,8,14,50,40
smoothgrad,total_road_attention_percentage,mean,icse20/DAVE2-Track1-Fog,4,0,4,0,1,0,0,0,0,0
smoothgrad,total_road_attention_percentage,mean,icse20/DAVE2-Track1-Fog,4,0,4,0,2,0,0,0,0,0
smoothgrad,total_road_attention_percentage,mean,icse20/DAVE2-Track1-Fog,4,0,4,0,3,0,0,0,0,0
smoothgrad,total_road_attention_percentage,max,icse20/DAVE2-Track1-Fog,4,1,3,0,1,90,8,8,25,20
smoothgrad,total_road_attention_percentage,max,icse20/DAVE2-Track1-Fog,4,0,4,0,2,0,0,0,0,0
smoothgrad,total_road_attention_percentage,max,icse20/DAVE2-Track1-Fog,4,0,4,0,3,0,0,0,0,0
smoothgrad,total_road_attention_percentage,mean,icse20/DAVE2-Track1-Normal,0,0,0,0,1,0,0,0,0,0
smoothgrad,total_road_attention_percentage,mean,icse20/DAVE2-Track1-Normal,0,0,0,0,2,0,0,0,0,0
smoothgrad,total_road_attention_percentage,mean,icse20/DAVE2-Track1-Normal,0,0,0,0,3,0,0,0,0,0
smoothgrad,total_road_attention_percentage,max,icse20/DAVE2-Track1-Normal,0,0,0,0,1,0,0,0,0,0
smoothgrad,total_road_attention_percentage,max,icse20/DAVE2-Track1-Normal,0,0,0,0,2,0,0,0,0,0
smoothgrad,total_road_attention_percentage,max,icse20/DAVE2-Track1-Normal,0,0,0,0,3,0,0,0,0,0
smoothgrad,total_road_attention_percentage,mean,icse20/DAVE2-Track1-Rain,2,0,2,0,1,0,0,0,0,0
smoothgrad,total_road_attention_percentage,mean,icse20/DAVE2-Track1-Rain,2,0,2,0,2,0,0,0,0,0
smoothgrad,total_road_attention_percentage,mean,icse20/DAVE2-Track1-Rain,2,0,2,0,3,0,0,0,0,0
smoothgrad,total_road_attention_percentage,max,icse20/DAVE2-Track1-Rain,2,2,0,0,1,92,8,14,100,62
smoothgrad,total_road_attention_percentage,max,icse20/DAVE2-Track1-Rain,2,0,2,0,2,0,0,0,0,0
smoothgrad,total_road_attention_percentage,max,icse20/DAVE2-Track1-Rain,2,0,2,0,3,0,0,0,0,0
smoothgrad,total_road_attention_percentage,mean,icse20/DAVE2-Track1-Snow,3,0,3,0,1,0,0,0,0,0
smoothgrad,total_road_attention_percentage,mean,icse20/DAVE2-Track1-Snow,3,0,3,0,2,0,0,0,0,0
smoothgrad,total_road_attention_percentage,mean,icse20/DAVE2-Track1-Snow,3,0,3,0,3,0,0,0,0,0
smoothgrad,total_road_attention_percentage,max,icse20/DAVE2-Track1-Snow,3,1,2,0,1,91,8,8,33,25
smoothgrad,total_road_attention_percentage,max,icse20/DAVE2-Track1-Snow,3,2,1,0,2,91,8,14,67,49
smoothgrad,total_road_attention_percentage,max,icse20/DAVE2-Track1-Snow,3,1,2,0,3,91,8,8,33,25
smoothgrad,total_road_attention_percentage,mean,icse20/DAVE2-Track1-DayNight,2,0,2,0,1,0,0,0,0,0
smoothgrad,total_road_attention_percentage,mean,icse20/DAVE2-Track1-DayNight,2,0,2,0,2,0,0,0,0,0
smoothgrad,total_road_attention_percentage,mean,icse20/DAVE2-Track1-DayNight,2,0,2,0,3,0,0,0,0,0
smoothgrad,total_road_attention_percentage,max,icse20/DAVE2-Track1-DayNight,2,0,2,0,1,0,0,0,0,0
smoothgrad,total_road_attention_percentage,max,icse20/DAVE2-Track1-DayNight,2,0,2,0,2,0,0,0,0,0
smoothgrad,total_road_attention_percentage,max,icse20/DAVE2-Track1-DayNight,2,2,0,0,3,99,1,50,100,91
smoothgrad,total_road_attention_percentage,mean,icse20/DAVE2-Track1-DayNightFog,5,0,5,0,1,0,0,0,0,0
smoothgrad,total_road_attention_percentage,mean,icse20/DAVE2-Track1-DayNightFog,5,0,5,0,2,0,0,0,0,0
smoothgrad,total_road_attention_percentage,mean,icse20/DAVE2-Track1-DayNightFog,5,0,5,0,3,0,0,0,0,0
smoothgrad,total_road_attention_percentage,max,icse20/DAVE2-Track1-DayNightFog,5,0,5,0,1,0,0,0,0,0
smoothgrad,total_road_attention_percentage,max,icse20/DAVE2-Track1-DayNightFog,5,0,5,0,2,0,0,0,0,0
smoothgrad,total_road_attention_percentage,max,icse20/DAVE2-Track1-DayNightFog,5,0,5,0,3,0,0,0,0,0
smoothgrad,total_road_attention_percentage,mean,icse20/DAVE2-Track1-DayNightRain,2,0,2,0,1,0,0,0,0,0
smoothgrad,total_road_attention_percentage,mean,icse20/DAVE2-Track1-DayNightRain,2,0,2,0,2,0,0,0,0,0
smoothgrad,total_road_attention_percentage,mean,icse20/DAVE2-Track1-DayNightRain,2,0,2,0,3,0,0,0,0,0
smoothgrad,total_road_attention_percentage,max,icse20/DAVE2-Track1-DayNightRain,2,2,0,0,1,99,1,50,100,91
smoothgrad,total_road_attention_percentage,max,icse20/DAVE2-Track1-DayNightRain,2,0,2,0,2,0,0,0,0,0
smoothgrad,total_road_attention_percentage,max,icse20/DAVE2-Track1-DayNightRain,2,0,2,0,3,0,0,0,0,0
smoothgrad,total_road_attention_percentage,mean,icse20/DAVE2-Track1-DayNightSnow,4,0,4,1,1,0,0,0,0,0
smoothgrad,total_road_attention_percentage,mean,icse20/DAVE2-Track1-DayNightSnow,3,0,3,2,2,0,0,0,0,0
smoothgrad,total_road_attention_percentage,mean,icse20/DAVE2-Track1-DayNightSnow,4,0,4,1,3,0,0,0,0,0
smoothgrad,total_road_attention_percentage,max,icse20/DAVE2-Track1-DayNightSnow,4,2,2,1,1,97,1,50,50,50
smoothgrad,total_road_attention_percentage,max,icse20/DAVE2-Track1-DayNightSnow,3,1,2,2,2,97,1,33,33,33
smoothgrad,total_road_attention_percentage,max,icse20/DAVE2-Track1-DayNightSnow,4,1,3,1,3,97,1,33,25,26
smoothgrad,total_road_attention_percentage,mean,icse20/DAVE2-Track1-Fog,4,0,4,0,1,0,0,0,0,0
smoothgrad,total_road_attention_percentage,mean,icse20/DAVE2-Track1-Fog,4,0,4,0,2,0,0,0,0,0
smoothgrad,total_road_attention_percentage,mean,icse20/DAVE2-Track1-Fog,4,0,4,0,3,0,0,0,0,0
smoothgrad,total_road_attention_percentage,max,icse20/DAVE2-Track1-Fog,4,1,3,0,1,97,1,33,25,26
smoothgrad,total_road_attention_percentage,max,icse20/DAVE2-Track1-Fog,4,0,4,0,2,0,0,0,0,0
smoothgrad,total_road_attention_percentage,max,icse20/DAVE2-Track1-Fog,4,0,4,0,3,0,0,0,0,0
smoothgrad,total_road_attention_percentage,mean,icse20/DAVE2-Track1-Normal,0,0,0,0,1,0,0,0,0,0
smoothgrad,total_road_attention_percentage,mean,icse20/DAVE2-Track1-Normal,0,0,0,0,2,0,0,0,0,0
smoothgrad,total_road_attention_percentage,mean,icse20/DAVE2-Track1-Normal,0,0,0,0,3,0,0,0,0,0
smoothgrad,total_road_attention_percentage,max,icse20/DAVE2-Track1-Normal,0,0,0,0,1,0,0,0,0,0
smoothgrad,total_road_attention_percentage,max,icse20/DAVE2-Track1-Normal,0,0,0,0,2,0,0,0,0,0
smoothgrad,total_road_attention_percentage,max,icse20/DAVE2-Track1-Normal,0,0,0,0,3,0,0,0,0,0
smoothgrad,total_road_attention_percentage,mean,icse20/DAVE2-Track1-Rain,2,0,2,0,1,0,0,0,0,0
smoothgrad,total_road_attention_percentage,mean,icse20/DAVE2-Track1-Rain,2,0,2,0,2,0,0,0,0,0
smoothgrad,total_road_attention_percentage,mean,icse20/DAVE2-Track1-Rain,2,0,2,0,3,0,0,0,0,0
smoothgrad,total_road_attention_percentage,max,icse20/DAVE2-Track1-Rain,2,2,0,0,1,99,1,50,100,91
smoothgrad,total_road_attention_percentage,max,icse20/DAVE2-Track1-Rain,2,0,2,0,2,0,0,0,0,0
smoothgrad,total_road_attention_percentage,max,icse20/DAVE2-Track1-Rain,2,0,2,0,3,0,0,0,0,0
smoothgrad,total_road_attention_percentage,mean,icse20/DAVE2-Track1-Snow,3,0,3,0,1,0,0,0,0,0
smoothgrad,total_road_attention_percentage,mean,icse20/DAVE2-Track1-Snow,3,0,3,0,2,0,0,0,0,0
smoothgrad,total_road_attention_percentage,mean,icse20/DAVE2-Track1-Snow,3,0,3,0,3,0,0,0,0,0
smoothgrad,total_road_attention_percentage,max,icse20/DAVE2-Track1-Snow,3,1,2,0,1,97,1,33,33,33
smoothgrad,total_road_attention_percentage,max,icse20/DAVE2-Track1-Snow,3,1,2,0,2,97,1,33,33,33
smoothgrad,total_road_attention_percentage,max,icse20/DAVE2-Track1-Snow,3,1,2,0,3,97,1,33,33,33
smoothgrad,total_road_attention_percentage,mean,icse20/DAVE2-Track1-DayNight,2,0,2,0,1,0,0,0,0,0
smoothgrad,total_road_attention_percentage,mean,icse20/DAVE2-Track1-DayNight,2,0,2,0,2,0,0,0,0,0
smoothgrad,total_road_attention_percentage,mean,icse20/DAVE2-Track1-DayNight,2,0,2,0,3,0,0,0,0,0
smoothgrad,total_road_attention_percentage,max,icse20/DAVE2-Track1-DayNight,2,0,2,0,1,0,0,0,0,0
smoothgrad,total_road_attention_percentage,max,icse20/DAVE2-Track1-DayNight,2,0,2,0,2,0,0,0,0,0
smoothgrad,total_road_attention_percentage,max,icse20/DAVE2-Track1-DayNight,2,2,0,0,3,95,5,20,100,71
smoothgrad,total_road_attention_percentage,mean,icse20/DAVE2-Track1-DayNightFog,5,0,5,0,1,0,0,0,0,0
smoothgrad,total_road_attention_percentage,mean,icse20/DAVE2-Track1-DayNightFog,5,0,5,0,2,0,0,0,0,0
smoothgrad,total_road_attention_percentage,mean,icse20/DAVE2-Track1-DayNightFog,5,0,5,0,3,0,0,0,0,0
smoothgrad,total_road_attention_percentage,max,icse20/DAVE2-Track1-DayNightFog,5,0,5,0,1,0,0,0,0,0
