heatmap_type,summarization_method,aggregation_type,simulation_name,failures,detected,undetected,undetectable,ttm,accuracy,fpr,precision,recall,f3
smoothgrad,total_road_attention_percentage,mean,ood/xai-track1-day-night,2,0,2,1,1,0,0,0,0,0
smoothgrad,total_road_attention_percentage,mean,ood/xai-track1-day-night,2,0,2,1,2,0,0,0,0,0
smoothgrad,total_road_attention_percentage,mean,ood/xai-track1-day-night,3,0,3,0,3,0,0,0,0,0
smoothgrad,total_road_attention_percentage,max,ood/xai-track1-day-night,2,0,2,1,1,0,0,0,0,0
smoothgrad,total_road_attention_percentage,max,ood/xai-track1-day-night,2,0,2,1,2,0,0,0,0,0
smoothgrad,total_road_attention_percentage,max,ood/xai-track1-day-night,3,3,0,0,3,92,8,25,100,77
smoothgrad,total_road_attention_percentage,mean,ood/xai-track1-fog-10,2,0,2,1,1,0,0,0,0,0
smoothgrad,total_road_attention_percentage,mean,ood/xai-track1-fog-10,2,0,2,1,2,0,0,0,0,0
smoothgrad,total_road_attention_percentage,mean,ood/xai-track1-fog-10,3,0,3,0,3,0,0,0,0,0
smoothgrad,total_road_attention_percentage,max,ood/xai-track1-fog-10,2,1,1,1,1,91,8,10,50,36
smoothgrad,total_road_attention_percentage,max,ood/xai-track1-fog-10,2,0,2,1,2,0,0,0,0,0
smoothgrad,total_road_attention_percentage,max,ood/xai-track1-fog-10,3,0,3,0,3,0,0,0,0,0
smoothgrad,total_road_attention_percentage,mean,ood/xai-track1-fog-100,4,0,4,0,1,0,0,0,0,0
smoothgrad,total_road_attention_percentage,mean,ood/xai-track1-fog-100,4,0,4,0,2,0,0,0,0,0
smoothgrad,total_road_attention_percentage,mean,ood/xai-track1-fog-100,4,0,4,0,3,0,0,0,0,0
smoothgrad,total_road_attention_percentage,max,ood/xai-track1-fog-100,4,4,0,0,1,92,8,31,100,82
smoothgrad,total_road_attention_percentage,max,ood/xai-track1-fog-100,4,0,4,0,2,0,0,0,0,0
smoothgrad,total_road_attention_percentage,max,ood/xai-track1-fog-100,4,0,4,0,3,0,0,0,0,0
smoothgrad,total_road_attention_percentage,mean,ood/xai-track1-fog-20,4,0,4,1,1,0,0,0,0,0
smoothgrad,total_road_attention_percentage,mean,ood/xai-track1-fog-20,4,0,4,1,2,0,0,0,0,0
smoothgrad,total_road_attention_percentage,mean,ood/xai-track1-fog-20,5,0,5,0,3,0,0,0,0,0
smoothgrad,total_road_attention_percentage,max,ood/xai-track1-fog-20,4,4,0,1,1,92,8,31,100,82
smoothgrad,total_road_attention_percentage,max,ood/xai-track1-fog-20,4,0,4,1,2,0,0,0,0,0
smoothgrad,total_road_attention_percentage,max,ood/xai-track1-fog-20,5,0,5,0,3,0,0,0,0,0
smoothgrad,total_road_attention_percentage,mean,ood/xai-track1-fog-40,3,0,3,0,1,0,0,0,0,0
smoothgrad,total_road_attention_percentage,mean,ood/xai-track1-fog-40,3,0,3,0,2,0,0,0,0,0
smoothgrad,total_road_attention_percentage,mean,ood/xai-track1-fog-40,3,0,3,0,3,0,0,0,0,0
smoothgrad,total_road_attention_percentage,max,ood/xai-track1-fog-40,3,3,0,0,1,92,8,25,100,77
smoothgrad,total_road_attention_percentage,max,ood/xai-track1-fog-40,3,0,3,0,2,0,0,0,0,0
smoothgrad,total_road_attention_percentage,max,ood/xai-track1-fog-40,3,0,3,0,3,0,0,0,0,0
smoothgrad,total_road_attention_percentage,mean,ood/xai-track1-fog-50,3,0,3,1,1,0,0,0,0,0
smoothgrad,total_road_attention_percentage,mean,ood/xai-track1-fog-50,3,0,3,1,2,0,0,0,0,0
smoothgrad,total_road_attention_percentage,mean,ood/xai-track1-fog-50,3,0,3,1,3,0,0,0,0,0
smoothgrad,total_road_attention_percentage,max,ood/xai-track1-fog-50,3,3,0,1,1,92,8,25,100,77
smoothgrad,total_road_attention_percentage,max,ood/xai-track1-fog-50,3,0,3,1,2,0,0,0,0,0
smoothgrad,total_road_attention_percentage,max,ood/xai-track1-fog-50,3,0,3,1,3,0,0,0,0,0
smoothgrad,total_road_attention_percentage,mean,ood/xai-track1-fog-60,1,0,1,0,1,0,0,0,0,0
smoothgrad,total_road_attention_percentage,mean,ood/xai-track1-fog-60,1,0,1,0,2,0,0,0,0,0
smoothgrad,total_road_attention_percentage,mean,ood/xai-track1-fog-60,1,0,1,0,3,0,0,0,0,0
smoothgrad,total_road_attention_percentage,max,ood/xai-track1-fog-60,1,0,1,0,1,0,0,0,0,0
smoothgrad,total_road_attention_percentage,max,ood/xai-track1-fog-60,1,0,1,0,2,0,0,0,0,0
smoothgrad,total_road_attention_percentage,max,ood/xai-track1-fog-60,1,0,1,0,3,0,0,0,0,0
smoothgrad,total_road_attention_percentage,mean,ood/xai-track1-fog-70,2,0,2,0,1,0,0,0,0,0
smoothgrad,total_road_attention_percentage,mean,ood/xai-track1-fog-70,2,0,2,0,2,0,0,0,0,0
smoothgrad,total_road_attention_percentage,mean,ood/xai-track1-fog-70,2,0,2,0,3,0,0,0,0,0
smoothgrad,total_road_attention_percentage,max,ood/xai-track1-fog-70,2,2,0,0,1,92,8,18,100,69
smoothgrad,total_road_attention_percentage,max,ood/xai-track1-fog-70,2,0,2,0,2,0,0,0,0,0
smoothgrad,total_road_attention_percentage,max,ood/xai-track1-fog-70,2,0,2,0,3,0,0,0,0,0
smoothgrad,total_road_attention_percentage,mean,ood/xai-track1-fog-80,1,0,1,0,1,0,0,0,0,0
smoothgrad,total_road_attention_percentage,mean,ood/xai-track1-fog-80,1,0,1,0,2,0,0,0,0,0
smoothgrad,total_road_attention_percentage,mean,ood/xai-track1-fog-80,1,0,1,0,3,0,0,0,0,0
smoothgrad,total_road_attention_percentage,max,ood/xai-track1-fog-80,1,1,0,0,1,92,8,10,100,53
smoothgrad,total_road_attention_percentage,max,ood/xai-track1-fog-80,1,0,1,0,2,0,0,0,0,0
smoothgrad,total_road_attention_percentage,max,ood/xai-track1-fog-80,1,0,1,0,3,0,0,0,0,0
smoothgrad,total_road_attention_percentage,mean,ood/xai-track1-fog-90,1,0,1,0,1,0,0,0,0,0
smoothgrad,total_road_attention_percentage,mean,ood/xai-track1-fog-90,1,0,1,0,2,0,0,0,0,0
smoothgrad,total_road_attention_percentage,mean,ood/xai-track1-fog-90,1,0,1,0,3,0,0,0,0,0
smoothgrad,total_road_attention_percentage,max,ood/xai-track1-fog-90,1,1,0,0,1,92,8,10,100,53
smoothgrad,total_road_attention_percentage,max,ood/xai-track1-fog-90,1,0,1,0,2,0,0,0,0,0
smoothgrad,total_road_attention_percentage,max,ood/xai-track1-fog-90,1,0,1,0,3,0,0,0,0,0
smoothgrad,total_road_attention_percentage,mean,ood/xai-track1-rain-10,1,0,1,0,1,0,0,0,0,0
smoothgrad,total_road_attention_percentage,mean,ood/xai-track1-rain-10,1,0,1,0,2,0,0,0,0,0
smoothgrad,total_road_attention_percentage,mean,ood/xai-track1-rain-10,1,0,1,0,3,0,0,0,0,0
smoothgrad,total_road_attention_percentage,max,ood/xai-track1-rain-10,1,1,0,0,1,92,8,10,100,53
smoothgrad,total_road_attention_percentage,max,ood/xai-track1-rain-10,1,0,1,0,2,0,0,0,0,0
smoothgrad,total_road_attention_percentage,max,ood/xai-track1-rain-10,1,0,1,0,3,0,0,0,0,0
smoothgrad,total_road_attention_percentage,mean,ood/xai-track1-rain-100,2,0,2,0,1,0,0,0,0,0
smoothgrad,total_road_attention_percentage,mean,ood/xai-track1-rain-100,2,0,2,0,2,0,0,0,0,0
smoothgrad,total_road_attention_percentage,mean,ood/xai-track1-rain-100,2,0,2,0,3,0,0,0,0,0
smoothgrad,total_road_attention_percentage,max,ood/xai-track1-rain-100,2,1,1,0,1,91,8,10,50,36
smoothgrad,total_road_attention_percentage,max,ood/xai-track1-rain-100,2,0,2,0,2,0,0,0,0,0
smoothgrad,total_road_attention_percentage,max,ood/xai-track1-rain-100,2,0,2,0,3,0,0,0,0,0
smoothgrad,total_road_attention_percentage,mean,ood/xai-track1-rain-20,3,0,3,0,1,0,0,0,0,0
smoothgrad,total_road_attention_percentage,mean,ood/xai-track1-rain-20,3,0,3,0,2,0,0,0,0,0
smoothgrad,total_road_attention_percentage,mean,ood/xai-track1-rain-20,3,0,3,0,3,0,0,0,0,0
smoothgrad,total_road_attention_percentage,max,ood/xai-track1-rain-20,3,3,0,0,1,92,8,25,100,77
smoothgrad,total_road_attention_percentage,max,ood/xai-track1-rain-20,3,0,3,0,2,0,0,0,0,0
smoothgrad,total_road_attention_percentage,max,ood/xai-track1-rain-20,3,0,3,0,3,0,0,0,0,0
smoothgrad,total_road_attention_percentage,mean,ood/xai-track1-rain-30,2,0,2,0,1,0,0,0,0,0
smoothgrad,total_road_attention_percentage,mean,ood/xai-track1-rain-30,2,0,2,0,2,0,0,0,0,0
smoothgrad,total_road_attention_percentage,mean,ood/xai-track1-rain-30,2,0,2,0,3,0,0,0,0,0
smoothgrad,total_road_attention_percentage,max,ood/xai-track1-rain-30,2,2,0,0,1,92,8,18,100,69
smoothgrad,total_road_attention_percentage,max,ood/xai-track1-rain-30,2,0,2,0,2,0,0,0,0,0
smoothgrad,total_road_attention_percentage,max,ood/xai-track1-rain-30,2,0,2,0,3,0,0,0,0,0
smoothgrad,total_road_attention_percentage,mean,ood/xai-track1-rain-40,3,0,3,0,1,0,0,0,0,0
smoothgrad,total_road_attention_percentage,mean,ood/xai-track1-rain-40,2,0,2,1,2,0,0,0,0,0
smoothgrad,total_road_attention_percentage,mean,ood/xai-track1-rain-40,2,0,2,1,3,0,0,0,0,0
smoothgrad,total_road_attention_percentage,max,ood/xai-track1-rain-40,3,2,1,0,1,91,8,18,67,53
smoothgrad,total_road_attention_percentage,max,ood/xai-track1-rain-40,2,0,2,1,2,0,0,0,0,0
smoothgrad,total_road_attention_percentage,max,ood/xai-track1-rain-40,2,0,2,1,3,0,0,0,0,0
smoothgrad,total_road_attention_percentage,mean,ood/xai-track1-rain-50,2,0,2,0,1,0,0,0,0,0
smoothgrad,total_road_attention_percentage,mean,ood/xai-track1-rain-50,2,0,2,0,2,0,0,0,0,0
smoothgrad,total_road_attention_percentage,mean,ood/xai-track1-rain-50,2,0,2,0,3,0,0,0,0,0
smoothgrad,total_road_attention_percentage,max,ood/xai-track1-rain-50,2,1,1,0,1,91,8,10,50,36
smoothgrad,total_road_attention_percentage,max,ood/xai-track1-rain-50,2,0,2,0,2,0,0,0,0,0
smoothgrad,total_road_attention_percentage,max,ood/xai-track1-rain-50,2,0,2,0,3,0,0,0,0,0
smoothgrad,total_road_attention_percentage,mean,ood/xai-track1-rain-60,2,0,2,0,1,0,0,0,0,0
smoothgrad,total_road_attention_percentage,mean,ood/xai-track1-rain-60,2,0,2,0,2,0,0,0,0,0
smoothgrad,total_road_attention_percentage,mean,ood/xai-track1-rain-60,2,0,2,0,3,0,0,0,0,0
smoothgrad,total_road_attention_percentage,max,ood/xai-track1-rain-60,2,2,0,0,1,92,8,18,100,69
smoothgrad,total_road_attention_percentage,max,ood/xai-track1-rain-60,2,0,2,0,2,0,0,0,0,0
smoothgrad,total_road_attention_percentage,max,ood/xai-track1-rain-60,2,0,2,0,3,0,0,0,0,0
smoothgrad,total_road_attention_percentage,mean,ood/xai-track1-rain-70,2,0,2,0,1,0,0,0,0,0
smoothgrad,total_road_attention_percentage,mean,ood/xai-track1-rain-70,2,0,2,0,2,0,0,0,0,0
smoothgrad,total_road_attention_percentage,mean,ood/xai-track1-rain-70,2,0,2,0,3,0,0,0,0,0
smoothgrad,total_road_attention_percentage,max,ood/xai-track1-rain-70,2,2,0,0,1,92,8,18,100,69
smoothgrad,total_road_attention_percentage,max,ood/xai-track1-rain-70,2,0,2,0,2,0,0,0,0,0
smoothgrad,total_road_attention_percentage,max,ood/xai-track1-rain-70,2,0,2,0,3,0,0,0,0,0
smoothgrad,total_road_attention_percentage,mean,ood/xai-track1-rain-80,3,0,3,0,1,0,0,0,0,0
smoothgrad,total_road_attention_percentage,mean,ood/xai-track1-rain-80,3,0,3,0,2,0,0,0,0,0
smoothgrad,total_road_attention_percentage,mean,ood/xai-track1-rain-80,3,0,3,0,3,0,0,0,0,0
smoothgrad,total_road_attention_percentage,max,ood/xai-track1-rain-80,3,3,0,0,1,92,8,25,100,77
smoothgrad,total_road_attention_percentage,max,ood/xai-track1-rain-80,3,0,3,0,2,0,0,0,0,0
smoothgrad,total_road_attention_percentage,max,ood/xai-track1-rain-80,3,0,3,0,3,0,0,0,0,0
smoothgrad,total_road_attention_percentage,mean,ood/xai-track1-rain-90,2,0,2,1,1,0,0,0,0,0
