heatmap_type,summarization_method,aggregation_type,simulation_name,failures,detected,undetected,undetectable,ttm,accuracy,fpr,precision,recall,f3
faster-scorecam,seg_merge_hm,max,icse20/DAVE2-Track1-DayNight,2,2,0,0,1,97,3,29,100,80
faster-scorecam,seg_merge_hm,max,icse20/DAVE2-Track1-DayNight,2,2,0,0,2,97,3,29,100,80
faster-scorecam,seg_merge_hm,max,icse20/DAVE2-Track1-DayNight,2,2,0,0,3,97,3,29,100,80
faster-scorecam,seg_merge_hm,max,icse20/DAVE2-Track1-DayNightFog,5,3,2,0,1,95,3,38,60,57
faster-scorecam,seg_merge_hm,max,icse20/DAVE2-Track1-DayNightFog,5,3,2,0,2,95,3,38,60,57
faster-scorecam,seg_merge_hm,max,icse20/DAVE2-Track1-DayNightFog,5,1,4,0,3,94,3,17,20,20
faster-scorecam,seg_merge_hm,max,icse20/DAVE2-Track1-DayNightRain,2,2,0,0,1,97,3,29,100,80
faster-scorecam,seg_merge_hm,max,icse20/DAVE2-Track1-DayNightRain,2,2,0,0,2,97,3,29,100,80
faster-scorecam,seg_merge_hm,max,icse20/DAVE2-Track1-DayNightRain,2,2,0,0,3,97,3,29,100,80
faster-scorecam,seg_merge_hm,max,icse20/DAVE2-Track1-DayNightSnow,4,4,0,1,1,97,3,44,100,89
faster-scorecam,seg_merge_hm,max,icse20/DAVE2-Track1-DayNightSnow,3,3,0,2,2,97,3,38,100,86
faster-scorecam,seg_merge_hm,max,icse20/DAVE2-Track1-DayNightSnow,4,4,0,1,3,97,3,44,100,89
faster-scorecam,seg_merge_hm,max,icse20/DAVE2-Track1-Fog,4,4,0,0,1,97,3,44,100,89
faster-scorecam,seg_merge_hm,max,icse20/DAVE2-Track1-Fog,4,4,0,0,2,97,3,44,100,89
faster-scorecam,seg_merge_hm,max,icse20/DAVE2-Track1-Fog,4,4,0,0,3,97,3,44,100,89
faster-scorecam,seg_merge_hm,max,icse20/DAVE2-Track1-Normal,0,0,0,0,1,0,0,0,0,0
faster-scorecam,seg_merge_hm,max,icse20/DAVE2-Track1-Normal,0,0,0,0,2,0,0,0,0,0
faster-scorecam,seg_merge_hm,max,icse20/DAVE2-Track1-Normal,0,0,0,0,3,0,0,0,0,0
faster-scorecam,seg_merge_hm,max,icse20/DAVE2-Track1-Rain,2,2,0,0,1,97,3,29,100,80
faster-scorecam,seg_merge_hm,max,icse20/DAVE2-Track1-Rain,2,2,0,0,2,97,3,29,100,80
faster-scorecam,seg_merge_hm,max,icse20/DAVE2-Track1-Rain,2,2,0,0,3,97,3,29,100,80
faster-scorecam,seg_merge_hm,max,icse20/DAVE2-Track1-Snow,3,3,0,0,1,97,3,38,100,86
faster-scorecam,seg_merge_hm,max,icse20/DAVE2-Track1-Snow,3,3,0,0,2,97,3,38,100,86
faster-scorecam,seg_merge_hm,max,icse20/DAVE2-Track1-Snow,3,3,0,0,3,97,3,38,100,86
