heatmap_type,summarization_method,aggregation_type,simulation_name,failures,detected,undetected,undetectable,ttm,accuracy,fpr,precision,recall,f3
faster-scorecam,seg_merge_hm,max,mutants/udacity_add_weights_regularisation_mutated0_MP_l1_3_1,5,5,0,0,1,96,4,56,100,93
faster-scorecam,seg_merge_hm,max,mutants/udacity_add_weights_regularisation_mutated0_MP_l1_3_1,5,5,0,0,2,96,4,56,100,93
faster-scorecam,seg_merge_hm,max,mutants/udacity_add_weights_regularisation_mutated0_MP_l1_3_1,4,4,0,1,3,96,4,50,100,91
faster-scorecam,seg_merge_hm,max,mutants/udacity_add_weights_regularisation_mutated0_MP_l1_l2_3_2,19,19,0,3,1,97,4,83,100,98
faster-scorecam,seg_merge_hm,max,mutants/udacity_add_weights_regularisation_mutated0_MP_l1_l2_3_2,19,19,0,3,2,97,4,83,100,98
faster-scorecam,seg_merge_hm,max,mutants/udacity_add_weights_regularisation_mutated0_MP_l1_l2_3_2,19,19,0,3,3,97,4,83,100,98
faster-scorecam,seg_merge_hm,max,mutants/udacity_add_weights_regularisation_mutated0_MP_l2_3_0,16,16,0,3,1,97,4,80,100,98
faster-scorecam,seg_merge_hm,max,mutants/udacity_add_weights_regularisation_mutated0_MP_l2_3_0,16,16,0,3,2,97,4,80,100,98
faster-scorecam,seg_merge_hm,max,mutants/udacity_add_weights_regularisation_mutated0_MP_l2_3_0,16,16,0,3,3,97,4,80,100,98
faster-scorecam,seg_merge_hm,max,mutants/udacity_change_activation_function_mutated0_MP_exponential_4_0,12,12,0,3,1,97,4,75,100,97
faster-scorecam,seg_merge_hm,max,mutants/udacity_change_activation_function_mutated0_MP_exponential_4_0,12,10,2,3,2,95,4,71,83,82
faster-scorecam,seg_merge_hm,max,mutants/udacity_change_activation_function_mutated0_MP_exponential_4_0,12,3,9,3,3,89,4,43,25,26
faster-scorecam,seg_merge_hm,max,mutants/udacity_change_activation_function_mutated0_MP_hard_sigmoid_4_0,7,7,0,1,1,96,4,64,100,95
faster-scorecam,seg_merge_hm,max,mutants/udacity_change_activation_function_mutated0_MP_hard_sigmoid_4_0,7,7,0,1,2,96,4,64,100,95
faster-scorecam,seg_merge_hm,max,mutants/udacity_change_activation_function_mutated0_MP_hard_sigmoid_4_0,7,7,0,1,3,96,4,64,100,95
faster-scorecam,seg_merge_hm,max,mutants/udacity_change_activation_function_mutated0_MP_relu_4_2,16,16,0,2,1,97,4,80,100,98
faster-scorecam,seg_merge_hm,max,mutants/udacity_change_activation_function_mutated0_MP_relu_4_2,16,16,0,2,2,97,4,80,100,98
faster-scorecam,seg_merge_hm,max,mutants/udacity_change_activation_function_mutated0_MP_relu_4_2,14,14,0,4,3,97,4,78,100,97
faster-scorecam,seg_merge_hm,max,mutants/udacity_change_activation_function_mutated0_MP_selu_4_0,7,7,0,0,1,96,4,64,100,95
faster-scorecam,seg_merge_hm,max,mutants/udacity_change_activation_function_mutated0_MP_selu_4_0,7,7,0,0,2,96,4,64,100,95
faster-scorecam,seg_merge_hm,max,mutants/udacity_change_activation_function_mutated0_MP_selu_4_0,7,7,0,0,3,96,4,64,100,95
faster-scorecam,seg_merge_hm,max,mutants/udacity_change_activation_function_mutated0_MP_sigmoid_4_3,12,12,0,3,1,97,4,75,100,97
faster-scorecam,seg_merge_hm,max,mutants/udacity_change_activation_function_mutated0_MP_sigmoid_4_3,12,12,0,3,2,97,4,75,100,97
faster-scorecam,seg_merge_hm,max,mutants/udacity_change_activation_function_mutated0_MP_sigmoid_4_3,11,4,7,4,3,91,4,50,36,37
faster-scorecam,seg_merge_hm,max,mutants/udacity_change_activation_function_mutated0_MP_softmax_4_4,12,12,0,2,1,97,4,75,100,97
faster-scorecam,seg_merge_hm,max,mutants/udacity_change_activation_function_mutated0_MP_softmax_4_4,12,12,0,2,2,97,4,75,100,97
faster-scorecam,seg_merge_hm,max,mutants/udacity_change_activation_function_mutated0_MP_softmax_4_4,12,2,10,2,3,88,4,33,17,18
faster-scorecam,seg_merge_hm,max,mutants/udacity_change_activation_function_mutated0_MP_softsign_4_5,12,12,0,9,1,97,4,75,100,97
faster-scorecam,seg_merge_hm,max,mutants/udacity_change_activation_function_mutated0_MP_softsign_4_5,12,8,4,9,2,93,4,67,67,67
faster-scorecam,seg_merge_hm,max,mutants/udacity_change_activation_function_mutated0_MP_softsign_4_5,10,9,1,11,3,96,4,69,90,87
faster-scorecam,seg_merge_hm,max,mutants/udacity_change_activation_function_mutated0_MP_tanh_4_2,10,10,0,4,1,97,4,71,100,96
faster-scorecam,seg_merge_hm,max,mutants/udacity_change_activation_function_mutated0_MP_tanh_4_2,10,9,1,4,2,96,4,69,90,87
faster-scorecam,seg_merge_hm,max,mutants/udacity_change_activation_function_mutated0_MP_tanh_4_2,10,7,3,4,3,94,4,64,70,69
faster-scorecam,seg_merge_hm,max,mutants/udacity_change_dropout_rate_mutated0_MP_0.125_0.125_6_2,13,13,0,3,1,97,4,76,100,97
faster-scorecam,seg_merge_hm,max,mutants/udacity_change_dropout_rate_mutated0_MP_0.125_0.125_6_2,13,12,1,3,2,96,4,75,92,90
faster-scorecam,seg_merge_hm,max,mutants/udacity_change_dropout_rate_mutated0_MP_0.125_0.125_6_2,13,12,1,3,3,96,4,75,92,90
faster-scorecam,seg_merge_hm,max,mutants/udacity_change_dropout_rate_mutated0_MP_0.25_0.25_6_7,10,10,0,4,1,97,4,71,100,96
faster-scorecam,seg_merge_hm,max,mutants/udacity_change_dropout_rate_mutated0_MP_0.25_0.25_6_7,10,10,0,4,2,97,4,71,100,96
faster-scorecam,seg_merge_hm,max,mutants/udacity_change_dropout_rate_mutated0_MP_0.25_0.25_6_7,10,9,1,4,3,96,4,69,90,87
faster-scorecam,seg_merge_hm,max,mutants/udacity_change_dropout_rate_mutated0_MP_0.75_0.75_6_0,9,9,0,0,1,97,4,69,100,96
faster-scorecam,seg_merge_hm,max,mutants/udacity_change_dropout_rate_mutated0_MP_0.75_0.75_6_0,9,8,1,0,2,96,4,67,89,86
faster-scorecam,seg_merge_hm,max,mutants/udacity_change_dropout_rate_mutated0_MP_0.75_0.75_6_0,9,0,9,0,3,0,0,0,0,0
faster-scorecam,seg_merge_hm,max,mutants/udacity_change_dropout_rate_mutated0_MP_1.0_1.0_6_1,4,4,0,0,1,96,4,50,100,91
faster-scorecam,seg_merge_hm,max,mutants/udacity_change_dropout_rate_mutated0_MP_1.0_1.0_6_1,4,4,0,0,2,96,4,50,100,91
faster-scorecam,seg_merge_hm,max,mutants/udacity_change_dropout_rate_mutated0_MP_1.0_1.0_6_1,4,4,0,0,3,96,4,50,100,91
faster-scorecam,seg_merge_hm,max,mutants/udacity_change_label_mutated0_MP_12.5_4,9,9,0,3,1,97,4,69,100,96
faster-scorecam,seg_merge_hm,max,mutants/udacity_change_label_mutated0_MP_12.5_4,9,9,0,3,2,97,4,69,100,96
faster-scorecam,seg_merge_hm,max,mutants/udacity_change_label_mutated0_MP_12.5_4,9,8,1,3,3,96,4,67,89,86
faster-scorecam,seg_merge_hm,max,mutants/udacity_change_label_mutated0_MP_25.0_1,4,3,1,1,1,95,4,43,75,70
faster-scorecam,seg_merge_hm,max,mutants/udacity_change_label_mutated0_MP_25.0_1,4,3,1,1,2,95,4,43,75,70
faster-scorecam,seg_merge_hm,max,mutants/udacity_change_label_mutated0_MP_25.0_1,4,2,2,1,3,95,4,33,50,48
faster-scorecam,seg_merge_hm,max,mutants/udacity_change_loss_function_mutated0_MP_mean_absolute_error_2,10,10,0,2,1,97,4,71,100,96
faster-scorecam,seg_merge_hm,max,mutants/udacity_change_loss_function_mutated0_MP_mean_absolute_error_2,10,9,1,2,2,96,4,69,90,87
faster-scorecam,seg_merge_hm,max,mutants/udacity_change_loss_function_mutated0_MP_mean_absolute_error_2,10,3,7,2,3,91,4,43,30,31
