heatmap_type,summarization_method,aggregation_type,simulation_name,failures,detected,undetected,undetectable,ttm,accuracy,fpr,precision,recall,f3
smoothgrad,seg_merge_hm,mean,icse20/DAVE2-Track1-DayNight,2,1,1,0,1,97,2,25,50,45
smoothgrad,seg_merge_hm,mean,icse20/DAVE2-Track1-DayNight,2,2,0,0,2,98,2,40,100,87
smoothgrad,seg_merge_hm,mean,icse20/DAVE2-Track1-DayNight,2,2,0,0,3,98,2,40,100,87
smoothgrad,seg_merge_hm,max,icse20/DAVE2-Track1-DayNight,2,2,0,0,1,97,3,33,100,83
smoothgrad,seg_merge_hm,max,icse20/DAVE2-Track1-DayNight,2,2,0,0,2,97,3,33,100,83
smoothgrad,seg_merge_hm,max,icse20/DAVE2-Track1-DayNight,2,2,0,0,3,97,3,33,100,83
smoothgrad,seg_merge_hm,mean,icse20/DAVE2-Track1-DayNightFog,5,5,0,0,1,98,2,62,100,94
smoothgrad,seg_merge_hm,mean,icse20/DAVE2-Track1-DayNightFog,5,5,0,0,2,98,2,62,100,94
smoothgrad,seg_merge_hm,mean,icse20/DAVE2-Track1-DayNightFog,5,5,0,0,3,98,2,62,100,94
smoothgrad,seg_merge_hm,max,icse20/DAVE2-Track1-DayNightFog,5,5,0,0,1,97,3,56,100,93
smoothgrad,seg_merge_hm,max,icse20/DAVE2-Track1-DayNightFog,5,5,0,0,2,97,3,56,100,93
smoothgrad,seg_merge_hm,max,icse20/DAVE2-Track1-DayNightFog,5,5,0,0,3,97,3,56,100,93
smoothgrad,seg_merge_hm,mean,icse20/DAVE2-Track1-DayNightRain,2,2,0,0,1,98,2,40,100,87
smoothgrad,seg_merge_hm,mean,icse20/DAVE2-Track1-DayNightRain,2,2,0,0,2,98,2,40,100,87
smoothgrad,seg_merge_hm,mean,icse20/DAVE2-Track1-DayNightRain,2,1,1,0,3,97,2,25,50,45
smoothgrad,seg_merge_hm,max,icse20/DAVE2-Track1-DayNightRain,2,2,0,0,1,97,3,33,100,83
