heatmap_type,summarization_method,aggregation_type,simulation_name,failures,detected,undetected,undetectable,ttm,accuracy,fpr,precision,recall,f3
faster-scorecam,avg_road_attention_percentage,max,icse20/DAVE2-Track1-DayNight,2,2,0,0,1,95,5,20,100,71
faster-scorecam,avg_road_attention_percentage,max,icse20/DAVE2-Track1-DayNight,2,1,1,0,2,94,5,11,50,37
faster-scorecam,avg_road_attention_percentage,max,icse20/DAVE2-Track1-DayNight,2,1,1,0,3,94,5,11,50,37
faster-scorecam,avg_road_attention_percentage,max,icse20/DAVE2-Track1-DayNight,2,0,2,0,4,0,0,0,0,0
faster-scorecam,avg_road_attention_percentage,max,icse20/DAVE2-Track1-DayNight,2,1,1,0,5,94,5,11,50,37
faster-scorecam,avg_road_attention_percentage,max,icse20/DAVE2-Track1-DayNight,2,1,1,0,6,94,5,11,50,37
faster-scorecam,avg_road_attention_percentage,max,icse20/DAVE2-Track1-DayNightFog,5,3,2,0,1,93,5,27,60,54
faster-scorecam,avg_road_attention_percentage,max,icse20/DAVE2-Track1-DayNightFog,5,3,2,0,2,93,5,27,60,54
faster-scorecam,avg_road_attention_percentage,max,icse20/DAVE2-Track1-DayNightFog,5,0,5,0,3,0,0,0,0,0
faster-scorecam,avg_road_attention_percentage,max,icse20/DAVE2-Track1-DayNightFog,5,3,2,0,4,93,5,27,60,54
faster-scorecam,avg_road_attention_percentage,max,icse20/DAVE2-Track1-DayNightFog,5,3,2,0,5,93,5,27,60,54
faster-scorecam,avg_road_attention_percentage,max,icse20/DAVE2-Track1-DayNightFog,5,3,2,0,6,93,5,27,60,54
faster-scorecam,avg_road_attention_percentage,max,icse20/DAVE2-Track1-DayNightRain,2,1,1,0,1,94,5,11,50,37
faster-scorecam,avg_road_attention_percentage,max,icse20/DAVE2-Track1-DayNightRain,2,1,1,0,2,94,5,11,50,37
faster-scorecam,avg_road_attention_percentage,max,icse20/DAVE2-Track1-DayNightRain,2,2,0,0,3,95,5,20,100,71
faster-scorecam,avg_road_attention_percentage,max,icse20/DAVE2-Track1-DayNightRain,2,2,0,0,4,95,5,20,100,71
faster-scorecam,avg_road_attention_percentage,max,icse20/DAVE2-Track1-DayNightRain,2,0,2,0,5,0,0,0,0,0
faster-scorecam,avg_road_attention_percentage,max,icse20/DAVE2-Track1-DayNightRain,2,1,1,0,6,94,5,11,50,37
faster-scorecam,avg_road_attention_percentage,max,icse20/DAVE2-Track1-DayNightSnow,4,4,0,1,1,95,5,33,100,83
faster-scorecam,avg_road_attention_percentage,max,icse20/DAVE2-Track1-DayNightSnow,3,2,1,2,2,94,5,20,67,54
faster-scorecam,avg_road_attention_percentage,max,icse20/DAVE2-Track1-DayNightSnow,4,4,0,1,3,95,5,33,100,83
faster-scorecam,avg_road_attention_percentage,max,icse20/DAVE2-Track1-DayNightSnow,4,2,2,1,4,93,5,20,50,43
faster-scorecam,avg_road_attention_percentage,max,icse20/DAVE2-Track1-DayNightSnow,4,2,2,1,5,93,5,20,50,43
faster-scorecam,avg_road_attention_percentage,max,icse20/DAVE2-Track1-DayNightSnow,4,1,3,1,6,93,5,11,25,22
faster-scorecam,avg_road_attention_percentage,max,icse20/DAVE2-Track1-Fog,4,0,4,0,1,0,0,0,0,0
faster-scorecam,avg_road_attention_percentage,max,icse20/DAVE2-Track1-Fog,4,4,0,0,2,95,5,33,100,83
faster-scorecam,avg_road_attention_percentage,max,icse20/DAVE2-Track1-Fog,4,3,1,0,3,94,5,27,75,64
faster-scorecam,avg_road_attention_percentage,max,icse20/DAVE2-Track1-Fog,4,4,0,0,4,95,5,33,100,83
faster-scorecam,avg_road_attention_percentage,max,icse20/DAVE2-Track1-Fog,4,3,1,0,5,94,5,27,75,64
faster-scorecam,avg_road_attention_percentage,max,icse20/DAVE2-Track1-Fog,4,1,3,0,6,93,5,11,25,22
faster-scorecam,avg_road_attention_percentage,max,icse20/DAVE2-Track1-Normal,0,0,0,0,1,0,0,0,0,0
