heatmap_type,summarization_method,aggregation_type,simulation_name,failures,detected,undetected,undetectable,ttm,accuracy,fpr,precision,recall,f3
faster-scorecam,avg_road_attention_percentage,max,mutants/udacity_add_weights_regularisation_mutated0_MP_l1_3_1,5,5,0,0,1,95,5,50,100,91
faster-scorecam,avg_road_attention_percentage,max,mutants/udacity_add_weights_regularisation_mutated0_MP_l1_3_1,5,5,0,0,2,95,5,50,100,91
faster-scorecam,avg_road_attention_percentage,max,mutants/udacity_add_weights_regularisation_mutated0_MP_l1_3_1,4,4,0,1,3,95,5,44,100,89
faster-scorecam,avg_road_attention_percentage,max,mutants/udacity_add_weights_regularisation_mutated0_MP_l1_3_1,3,3,0,2,4,95,5,38,100,86
faster-scorecam,avg_road_attention_percentage,max,mutants/udacity_add_weights_regularisation_mutated0_MP_l1_3_1,3,3,0,2,5,95,5,38,100,86
faster-scorecam,avg_road_attention_percentage,max,mutants/udacity_add_weights_regularisation_mutated0_MP_l1_3_1,3,3,0,2,6,95,5,38,100,86
faster-scorecam,avg_road_attention_percentage,max,mutants/udacity_add_weights_regularisation_mutated0_MP_l1_l2_3_2,19,19,0,3,1,96,5,79,100,97
faster-scorecam,avg_road_attention_percentage,max,mutants/udacity_add_weights_regularisation_mutated0_MP_l1_l2_3_2,19,19,0,3,2,96,5,79,100,97
faster-scorecam,avg_road_attention_percentage,max,mutants/udacity_add_weights_regularisation_mutated0_MP_l1_l2_3_2,19,19,0,3,3,96,5,79,100,97
faster-scorecam,avg_road_attention_percentage,max,mutants/udacity_add_weights_regularisation_mutated0_MP_l1_l2_3_2,14,14,0,8,4,96,5,74,100,97
faster-scorecam,avg_road_attention_percentage,max,mutants/udacity_add_weights_regularisation_mutated0_MP_l1_l2_3_2,9,9,0,13,5,96,5,64,100,95
faster-scorecam,avg_road_attention_percentage,max,mutants/udacity_add_weights_regularisation_mutated0_MP_l1_l2_3_2,8,8,0,14,6,96,5,62,100,94
faster-scorecam,avg_road_attention_percentage,max,mutants/udacity_add_weights_regularisation_mutated0_MP_l2_3_0,16,15,1,3,1,95,5,75,94,91
faster-scorecam,avg_road_attention_percentage,max,mutants/udacity_add_weights_regularisation_mutated0_MP_l2_3_0,16,15,1,3,2,95,5,75,94,91
faster-scorecam,avg_road_attention_percentage,max,mutants/udacity_add_weights_regularisation_mutated0_MP_l2_3_0,16,16,0,3,3,96,5,76,100,97
faster-scorecam,avg_road_attention_percentage,max,mutants/udacity_add_weights_regularisation_mutated0_MP_l2_3_0,9,9,0,10,4,96,5,64,100,95
faster-scorecam,avg_road_attention_percentage,max,mutants/udacity_add_weights_regularisation_mutated0_MP_l2_3_0,8,8,0,11,5,96,5,62,100,94
faster-scorecam,avg_road_attention_percentage,max,mutants/udacity_add_weights_regularisation_mutated0_MP_l2_3_0,5,5,0,14,6,95,5,50,100,91
faster-scorecam,avg_road_attention_percentage,max,mutants/udacity_change_activation_function_mutated0_MP_exponential_4_0,12,11,1,3,1,95,5,69,92,89
faster-scorecam,avg_road_attention_percentage,max,mutants/udacity_change_activation_function_mutated0_MP_exponential_4_0,12,12,0,3,2,96,5,71,100,96
faster-scorecam,avg_road_attention_percentage,max,mutants/udacity_change_activation_function_mutated0_MP_exponential_4_0,12,12,0,3,3,96,5,71,100,96
faster-scorecam,avg_road_attention_percentage,max,mutants/udacity_change_activation_function_mutated0_MP_exponential_4_0,10,10,0,5,4,96,5,67,100,95
faster-scorecam,avg_road_attention_percentage,max,mutants/udacity_change_activation_function_mutated0_MP_exponential_4_0,8,7,1,7,5,95,5,58,88,83
faster-scorecam,avg_road_attention_percentage,max,mutants/udacity_change_activation_function_mutated0_MP_exponential_4_0,8,8,0,7,6,96,5,62,100,94
faster-scorecam,avg_road_attention_percentage,max,mutants/udacity_change_activation_function_mutated0_MP_hard_sigmoid_4_0,7,7,0,1,1,96,5,58,100,93
faster-scorecam,avg_road_attention_percentage,max,mutants/udacity_change_activation_function_mutated0_MP_hard_sigmoid_4_0,7,7,0,1,2,96,5,58,100,93
faster-scorecam,avg_road_attention_percentage,max,mutants/udacity_change_activation_function_mutated0_MP_hard_sigmoid_4_0,7,7,0,1,3,96,5,58,100,93
faster-scorecam,avg_road_attention_percentage,max,mutants/udacity_change_activation_function_mutated0_MP_hard_sigmoid_4_0,7,7,0,1,4,96,5,58,100,93
faster-scorecam,avg_road_attention_percentage,max,mutants/udacity_change_activation_function_mutated0_MP_hard_sigmoid_4_0,6,6,0,2,5,96,5,55,100,92
faster-scorecam,avg_road_attention_percentage,max,mutants/udacity_change_activation_function_mutated0_MP_hard_sigmoid_4_0,6,6,0,2,6,96,5,55,100,92
faster-scorecam,avg_road_attention_percentage,max,mutants/udacity_change_activation_function_mutated0_MP_relu_4_2,16,16,0,2,1,96,5,76,100,97
faster-scorecam,avg_road_attention_percentage,max,mutants/udacity_change_activation_function_mutated0_MP_relu_4_2,16,16,0,2,2,96,5,76,100,97
faster-scorecam,avg_road_attention_percentage,max,mutants/udacity_change_activation_function_mutated0_MP_relu_4_2,14,14,0,4,3,96,5,74,100,97
faster-scorecam,avg_road_attention_percentage,max,mutants/udacity_change_activation_function_mutated0_MP_relu_4_2,9,9,0,9,4,96,5,64,100,95
faster-scorecam,avg_road_attention_percentage,max,mutants/udacity_change_activation_function_mutated0_MP_relu_4_2,6,6,0,12,5,96,5,55,100,92
faster-scorecam,avg_road_attention_percentage,max,mutants/udacity_change_activation_function_mutated0_MP_relu_4_2,6,6,0,12,6,96,5,55,100,92
faster-scorecam,avg_road_attention_percentage,max,mutants/udacity_change_activation_function_mutated0_MP_selu_4_0,7,7,0,0,1,96,5,58,100,93
faster-scorecam,avg_road_attention_percentage,max,mutants/udacity_change_activation_function_mutated0_MP_selu_4_0,7,7,0,0,2,96,5,58,100,93
faster-scorecam,avg_road_attention_percentage,max,mutants/udacity_change_activation_function_mutated0_MP_selu_4_0,7,7,0,0,3,96,5,58,100,93
faster-scorecam,avg_road_attention_percentage,max,mutants/udacity_change_activation_function_mutated0_MP_selu_4_0,6,6,0,1,4,96,5,55,100,92
faster-scorecam,avg_road_attention_percentage,max,mutants/udacity_change_activation_function_mutated0_MP_selu_4_0,5,5,0,2,5,95,5,50,100,91
faster-scorecam,avg_road_attention_percentage,max,mutants/udacity_change_activation_function_mutated0_MP_selu_4_0,5,5,0,2,6,95,5,50,100,91
faster-scorecam,avg_road_attention_percentage,max,mutants/udacity_change_activation_function_mutated0_MP_sigmoid_4_3,12,12,0,3,1,96,5,71,100,96
faster-scorecam,avg_road_attention_percentage,max,mutants/udacity_change_activation_function_mutated0_MP_sigmoid_4_3,12,12,0,3,2,96,5,71,100,96
faster-scorecam,avg_road_attention_percentage,max,mutants/udacity_change_activation_function_mutated0_MP_sigmoid_4_3,11,11,0,4,3,96,5,69,100,96
faster-scorecam,avg_road_attention_percentage,max,mutants/udacity_change_activation_function_mutated0_MP_sigmoid_4_3,10,10,0,5,4,96,5,67,100,95
faster-scorecam,avg_road_attention_percentage,max,mutants/udacity_change_activation_function_mutated0_MP_sigmoid_4_3,10,10,0,5,5,96,5,67,100,95
faster-scorecam,avg_road_attention_percentage,max,mutants/udacity_change_activation_function_mutated0_MP_sigmoid_4_3,8,8,0,7,6,96,5,62,100,94
faster-scorecam,avg_road_attention_percentage,max,mutants/udacity_change_activation_function_mutated0_MP_softmax_4_4,12,12,0,2,1,96,5,71,100,96
faster-scorecam,avg_road_attention_percentage,max,mutants/udacity_change_activation_function_mutated0_MP_softmax_4_4,12,12,0,2,2,96,5,71,100,96
faster-scorecam,avg_road_attention_percentage,max,mutants/udacity_change_activation_function_mutated0_MP_softmax_4_4,12,12,0,2,3,96,5,71,100,96
faster-scorecam,avg_road_attention_percentage,max,mutants/udacity_change_activation_function_mutated0_MP_softmax_4_4,11,11,0,3,4,96,5,69,100,96
faster-scorecam,avg_road_attention_percentage,max,mutants/udacity_change_activation_function_mutated0_MP_softmax_4_4,7,7,0,7,5,96,5,58,100,93
faster-scorecam,avg_road_attention_percentage,max,mutants/udacity_change_activation_function_mutated0_MP_softmax_4_4,4,4,0,10,6,95,5,44,100,89
faster-scorecam,avg_road_attention_percentage,max,mutants/udacity_change_activation_function_mutated0_MP_softsign_4_5,12,12,0,9,1,96,5,71,100,96
faster-scorecam,avg_road_attention_percentage,max,mutants/udacity_change_activation_function_mutated0_MP_softsign_4_5,12,12,0,9,2,96,5,71,100,96
faster-scorecam,avg_road_attention_percentage,max,mutants/udacity_change_activation_function_mutated0_MP_softsign_4_5,10,10,0,11,3,96,5,67,100,95
faster-scorecam,avg_road_attention_percentage,max,mutants/udacity_change_activation_function_mutated0_MP_softsign_4_5,13,13,0,8,4,96,5,72,100,96
faster-scorecam,avg_road_attention_percentage,max,mutants/udacity_change_activation_function_mutated0_MP_softsign_4_5,9,9,0,12,5,96,5,64,100,95
faster-scorecam,avg_road_attention_percentage,max,mutants/udacity_change_activation_function_mutated0_MP_softsign_4_5,12,12,0,9,6,96,5,71,100,96
faster-scorecam,avg_road_attention_percentage,max,mutants/udacity_change_activation_function_mutated0_MP_tanh_4_2,10,6,4,4,1,92,5,55,60,59
faster-scorecam,avg_road_attention_percentage,max,mutants/udacity_change_activation_function_mutated0_MP_tanh_4_2,10,9,1,4,2,95,5,64,90,87
faster-scorecam,avg_road_attention_percentage,max,mutants/udacity_change_activation_function_mutated0_MP_tanh_4_2,10,9,1,4,3,95,5,64,90,87
faster-scorecam,avg_road_attention_percentage,max,mutants/udacity_change_activation_function_mutated0_MP_tanh_4_2,9,9,0,5,4,96,5,64,100,95
faster-scorecam,avg_road_attention_percentage,max,mutants/udacity_change_activation_function_mutated0_MP_tanh_4_2,5,5,0,9,5,95,5,50,100,91
faster-scorecam,avg_road_attention_percentage,max,mutants/udacity_change_activation_function_mutated0_MP_tanh_4_2,5,5,0,9,6,95,5,50,100,91
faster-scorecam,avg_road_attention_percentage,max,mutants/udacity_change_dropout_rate_mutated0_MP_0.125_0.125_6_2,13,13,0,3,1,96,5,72,100,96
faster-scorecam,avg_road_attention_percentage,max,mutants/udacity_change_dropout_rate_mutated0_MP_0.125_0.125_6_2,13,13,0,3,2,96,5,72,100,96
