heatmap_type,summarization_method,aggregation_type,simulation_name,failures,detected,undetected,undetectable,ttm,accuracy,fpr,precision,recall,f3
faster-scorecam,avg_road_attention_percentage,max,ood/xai-track1-day-night,2,2,0,1,1,95,5,29,100,80
faster-scorecam,avg_road_attention_percentage,max,ood/xai-track1-day-night,2,2,0,1,2,95,5,29,100,80
faster-scorecam,avg_road_attention_percentage,max,ood/xai-track1-day-night,3,3,0,0,3,95,5,38,100,86
faster-scorecam,avg_road_attention_percentage,max,ood/xai-track1-day-night,3,2,1,0,4,94,5,29,67,59
faster-scorecam,avg_road_attention_percentage,max,ood/xai-track1-day-night,3,2,1,0,5,94,5,29,67,59
faster-scorecam,avg_road_attention_percentage,max,ood/xai-track1-day-night,3,0,3,0,6,0,0,0,0,0
faster-scorecam,avg_road_attention_percentage,max,ood/xai-track1-fog-10,2,2,0,1,1,95,5,29,100,80
faster-scorecam,avg_road_attention_percentage,max,ood/xai-track1-fog-10,2,0,2,1,2,0,0,0,0,0
faster-scorecam,avg_road_attention_percentage,max,ood/xai-track1-fog-10,3,2,1,0,3,94,5,29,67,59
faster-scorecam,avg_road_attention_percentage,max,ood/xai-track1-fog-10,3,0,3,0,4,0,0,0,0,0
faster-scorecam,avg_road_attention_percentage,max,ood/xai-track1-fog-10,3,0,3,0,5,0,0,0,0,0
faster-scorecam,avg_road_attention_percentage,max,ood/xai-track1-fog-10,3,1,2,0,6,94,5,17,33,30
faster-scorecam,avg_road_attention_percentage,max,ood/xai-track1-fog-100,4,0,4,0,1,0,0,0,0,0
faster-scorecam,avg_road_attention_percentage,max,ood/xai-track1-fog-100,4,0,4,0,2,0,0,0,0,0
faster-scorecam,avg_road_attention_percentage,max,ood/xai-track1-fog-100,4,0,4,0,3,0,0,0,0,0
faster-scorecam,avg_road_attention_percentage,max,ood/xai-track1-fog-100,4,0,4,0,4,0,0,0,0,0
faster-scorecam,avg_road_attention_percentage,max,ood/xai-track1-fog-100,4,0,4,0,5,0,0,0,0,0
faster-scorecam,avg_road_attention_percentage,max,ood/xai-track1-fog-100,4,0,4,0,6,0,0,0,0,0
faster-scorecam,avg_road_attention_percentage,max,ood/xai-track1-fog-20,4,0,4,1,1,0,0,0,0,0
faster-scorecam,avg_road_attention_percentage,max,ood/xai-track1-fog-20,4,0,4,1,2,0,0,0,0,0
faster-scorecam,avg_road_attention_percentage,max,ood/xai-track1-fog-20,5,4,1,0,3,95,5,44,80,74
faster-scorecam,avg_road_attention_percentage,max,ood/xai-track1-fog-20,5,0,5,0,4,0,0,0,0,0
faster-scorecam,avg_road_attention_percentage,max,ood/xai-track1-fog-20,4,3,1,1,5,95,5,38,75,68
