heatmap_type,summarization_method,aggregation_type,simulation_name,failures,detected,undetected,undetectable,ttm,accuracy,fpr,precision,recall,f3
smoothgrad,avg_road_attention_percentage,max,icse20/DAVE2-Track1-DayNight,2,2,0,0,1,97,3,33,100,83
smoothgrad,avg_road_attention_percentage,max,icse20/DAVE2-Track1-DayNight,2,2,0,0,2,97,3,33,100,83
smoothgrad,avg_road_attention_percentage,max,icse20/DAVE2-Track1-DayNight,2,2,0,0,3,97,3,33,100,83
smoothgrad,avg_road_attention_percentage,max,icse20/DAVE2-Track1-DayNight,2,2,0,0,4,97,3,33,100,83
smoothgrad,avg_road_attention_percentage,max,icse20/DAVE2-Track1-DayNight,2,2,0,0,5,97,3,33,100,83
smoothgrad,avg_road_attention_percentage,max,icse20/DAVE2-Track1-DayNight,2,2,0,0,6,97,3,33,100,83
smoothgrad,avg_road_attention_percentage,max,icse20/DAVE2-Track1-DayNightFog,5,5,0,0,1,97,3,56,100,93
smoothgrad,avg_road_attention_percentage,max,icse20/DAVE2-Track1-DayNightFog,5,5,0,0,2,97,3,56,100,93
smoothgrad,avg_road_attention_percentage,max,icse20/DAVE2-Track1-DayNightFog,5,5,0,0,3,97,3,56,100,93
smoothgrad,avg_road_attention_percentage,max,icse20/DAVE2-Track1-DayNightFog,5,5,0,0,4,97,3,56,100,93
smoothgrad,avg_road_attention_percentage,max,icse20/DAVE2-Track1-DayNightFog,5,5,0,0,5,97,3,56,100,93
smoothgrad,avg_road_attention_percentage,max,icse20/DAVE2-Track1-DayNightFog,5,5,0,0,6,97,3,56,100,93
smoothgrad,avg_road_attention_percentage,max,icse20/DAVE2-Track1-DayNightRain,2,2,0,0,1,97,3,33,100,83
smoothgrad,avg_road_attention_percentage,max,icse20/DAVE2-Track1-DayNightRain,2,2,0,0,2,97,3,33,100,83
smoothgrad,avg_road_attention_percentage,max,icse20/DAVE2-Track1-DayNightRain,2,2,0,0,3,97,3,33,100,83
smoothgrad,avg_road_attention_percentage,max,icse20/DAVE2-Track1-DayNightRain,2,2,0,0,4,97,3,33,100,83
smoothgrad,avg_road_attention_percentage,max,icse20/DAVE2-Track1-DayNightRain,2,2,0,0,5,97,3,33,100,83
smoothgrad,avg_road_attention_percentage,max,icse20/DAVE2-Track1-DayNightRain,2,2,0,0,6,97,3,33,100,83
smoothgrad,avg_road_attention_percentage,max,icse20/DAVE2-Track1-DayNightSnow,4,3,1,1,1,97,3,43,75,70
smoothgrad,avg_road_attention_percentage,max,icse20/DAVE2-Track1-DayNightSnow,3,3,0,2,2,97,3,43,100,88
smoothgrad,avg_road_attention_percentage,max,icse20/DAVE2-Track1-DayNightSnow,4,4,0,1,3,97,3,50,100,91
smoothgrad,avg_road_attention_percentage,max,icse20/DAVE2-Track1-DayNightSnow,4,4,0,1,4,97,3,50,100,91
smoothgrad,avg_road_attention_percentage,max,icse20/DAVE2-Track1-DayNightSnow,4,4,0,1,5,97,3,50,100,91
smoothgrad,avg_road_attention_percentage,max,icse20/DAVE2-Track1-DayNightSnow,4,4,0,1,6,97,3,50,100,91
smoothgrad,avg_road_attention_percentage,max,icse20/DAVE2-Track1-Fog,4,4,0,0,1,97,3,50,100,91
smoothgrad,avg_road_attention_percentage,max,icse20/DAVE2-Track1-Fog,4,1,3,0,2,95,3,20,25,24
smoothgrad,avg_road_attention_percentage,max,icse20/DAVE2-Track1-Fog,4,2,2,0,3,96,3,33,50,48
smoothgrad,avg_road_attention_percentage,max,icse20/DAVE2-Track1-Fog,4,4,0,0,4,97,3,50,100,91
smoothgrad,avg_road_attention_percentage,max,icse20/DAVE2-Track1-Fog,4,4,0,0,5,97,3,50,100,91
