heatmap_type,summarization_method,aggregation_type,simulation_name,failures,detected,undetected,undetectable,ttm,accuracy,fpr,precision,recall,f3
smoothgrad,avg_road_attention_percentage,max,ood/xai-track1-day-night,2,2,0,1,1,96,4,33,100,83
smoothgrad,avg_road_attention_percentage,max,ood/xai-track1-day-night,2,2,0,1,2,96,4,33,100,83
smoothgrad,avg_road_attention_percentage,max,ood/xai-track1-day-night,3,3,0,0,3,96,4,43,100,88
smoothgrad,avg_road_attention_percentage,max,ood/xai-track1-day-night,3,3,0,0,4,96,4,43,100,88
smoothgrad,avg_road_attention_percentage,max,ood/xai-track1-day-night,3,3,0,0,5,96,4,43,100,88
smoothgrad,avg_road_attention_percentage,max,ood/xai-track1-day-night,3,3,0,0,6,96,4,43,100,88
smoothgrad,avg_road_attention_percentage,max,ood/xai-track1-fog-10,2,2,0,1,1,96,4,33,100,83
smoothgrad,avg_road_attention_percentage,max,ood/xai-track1-fog-10,2,2,0,1,2,96,4,33,100,83
smoothgrad,avg_road_attention_percentage,max,ood/xai-track1-fog-10,3,3,0,0,3,96,4,43,100,88
smoothgrad,avg_road_attention_percentage,max,ood/xai-track1-fog-10,3,3,0,0,4,96,4,43,100,88
smoothgrad,avg_road_attention_percentage,max,ood/xai-track1-fog-10,3,3,0,0,5,96,4,43,100,88
smoothgrad,avg_road_attention_percentage,max,ood/xai-track1-fog-10,3,3,0,0,6,96,4,43,100,88
smoothgrad,avg_road_attention_percentage,max,ood/xai-track1-fog-100,4,4,0,0,1,96,4,50,100,91
smoothgrad,avg_road_attention_percentage,max,ood/xai-track1-fog-100,4,4,0,0,2,96,4,50,100,91
smoothgrad,avg_road_attention_percentage,max,ood/xai-track1-fog-100,4,4,0,0,3,96,4,50,100,91
smoothgrad,avg_road_attention_percentage,max,ood/xai-track1-fog-100,4,4,0,0,4,96,4,50,100,91
smoothgrad,avg_road_attention_percentage,max,ood/xai-track1-fog-100,4,4,0,0,5,96,4,50,100,91
smoothgrad,avg_road_attention_percentage,max,ood/xai-track1-fog-100,4,4,0,0,6,96,4,50,100,91
smoothgrad,avg_road_attention_percentage,max,ood/xai-track1-fog-20,4,4,0,1,1,96,4,50,100,91
smoothgrad,avg_road_attention_percentage,max,ood/xai-track1-fog-20,4,4,0,1,2,96,4,50,100,91
smoothgrad,avg_road_attention_percentage,max,ood/xai-track1-fog-20,5,5,0,0,3,96,4,56,100,93
smoothgrad,avg_road_attention_percentage,max,ood/xai-track1-fog-20,5,5,0,0,4,96,4,56,100,93
smoothgrad,avg_road_attention_percentage,max,ood/xai-track1-fog-20,4,4,0,1,5,96,4,50,100,91
smoothgrad,avg_road_attention_percentage,max,ood/xai-track1-fog-20,4,4,0,1,6,96,4,50,100,91
smoothgrad,avg_road_attention_percentage,max,ood/xai-track1-fog-40,3,3,0,0,1,96,4,43,100,88
smoothgrad,avg_road_attention_percentage,max,ood/xai-track1-fog-40,3,3,0,0,2,96,4,43,100,88
smoothgrad,avg_road_attention_percentage,max,ood/xai-track1-fog-40,3,3,0,0,3,96,4,43,100,88
smoothgrad,avg_road_attention_percentage,max,ood/xai-track1-fog-40,3,3,0,0,4,96,4,43,100,88
smoothgrad,avg_road_attention_percentage,max,ood/xai-track1-fog-40,3,3,0,0,5,96,4,43,100,88
smoothgrad,avg_road_attention_percentage,max,ood/xai-track1-fog-40,3,3,0,0,6,96,4,43,100,88
smoothgrad,avg_road_attention_percentage,max,ood/xai-track1-fog-50,3,3,0,1,1,96,4,43,100,88
smoothgrad,avg_road_attention_percentage,max,ood/xai-track1-fog-50,3,3,0,1,2,96,4,43,100,88
smoothgrad,avg_road_attention_percentage,max,ood/xai-track1-fog-50,3,3,0,1,3,96,4,43,100,88
smoothgrad,avg_road_attention_percentage,max,ood/xai-track1-fog-50,3,3,0,1,4,96,4,43,100,88
smoothgrad,avg_road_attention_percentage,max,ood/xai-track1-fog-50,4,4,0,0,5,96,4,50,100,91
smoothgrad,avg_road_attention_percentage,max,ood/xai-track1-fog-50,4,4,0,0,6,96,4,50,100,91
smoothgrad,avg_road_attention_percentage,max,ood/xai-track1-fog-60,1,1,0,0,1,96,4,20,100,71
smoothgrad,avg_road_attention_percentage,max,ood/xai-track1-fog-60,1,1,0,0,2,96,4,20,100,71
smoothgrad,avg_road_attention_percentage,max,ood/xai-track1-fog-60,1,1,0,0,3,96,4,20,100,71
smoothgrad,avg_road_attention_percentage,max,ood/xai-track1-fog-60,1,1,0,0,4,96,4,20,100,71
smoothgrad,avg_road_attention_percentage,max,ood/xai-track1-fog-60,1,1,0,0,5,96,4,20,100,71
smoothgrad,avg_road_attention_percentage,max,ood/xai-track1-fog-60,1,1,0,0,6,96,4,20,100,71
smoothgrad,avg_road_attention_percentage,max,ood/xai-track1-fog-70,2,2,0,0,1,96,4,33,100,83
smoothgrad,avg_road_attention_percentage,max,ood/xai-track1-fog-70,2,2,0,0,2,96,4,33,100,83
smoothgrad,avg_road_attention_percentage,max,ood/xai-track1-fog-70,2,2,0,0,3,96,4,33,100,83
smoothgrad,avg_road_attention_percentage,max,ood/xai-track1-fog-70,2,2,0,0,4,96,4,33,100,83
smoothgrad,avg_road_attention_percentage,max,ood/xai-track1-fog-70,2,2,0,0,5,96,4,33,100,83
smoothgrad,avg_road_attention_percentage,max,ood/xai-track1-fog-70,2,2,0,0,6,96,4,33,100,83
smoothgrad,avg_road_attention_percentage,max,ood/xai-track1-fog-80,1,1,0,0,1,96,4,20,100,71
smoothgrad,avg_road_attention_percentage,max,ood/xai-track1-fog-80,1,1,0,0,2,96,4,20,100,71
smoothgrad,avg_road_attention_percentage,max,ood/xai-track1-fog-80,1,1,0,0,3,96,4,20,100,71
smoothgrad,avg_road_attention_percentage,max,ood/xai-track1-fog-80,1,1,0,0,4,96,4,20,100,71
smoothgrad,avg_road_attention_percentage,max,ood/xai-track1-fog-80,1,1,0,0,5,96,4,20,100,71
smoothgrad,avg_road_attention_percentage,max,ood/xai-track1-fog-80,1,1,0,0,6,96,4,20,100,71
smoothgrad,avg_road_attention_percentage,max,ood/xai-track1-fog-90,1,1,0,0,1,96,4,20,100,71
smoothgrad,avg_road_attention_percentage,max,ood/xai-track1-fog-90,1,1,0,0,2,96,4,20,100,71
smoothgrad,avg_road_attention_percentage,max,ood/xai-track1-fog-90,1,1,0,0,3,96,4,20,100,71
smoothgrad,avg_road_attention_percentage,max,ood/xai-track1-fog-90,1,1,0,0,4,96,4,20,100,71
smoothgrad,avg_road_attention_percentage,max,ood/xai-track1-fog-90,1,1,0,0,5,96,4,20,100,71
smoothgrad,avg_road_attention_percentage,max,ood/xai-track1-fog-90,1,1,0,0,6,96,4,20,100,71
smoothgrad,avg_road_attention_percentage,max,ood/xai-track1-rain-10,1,1,0,0,1,96,4,20,100,71
smoothgrad,avg_road_attention_percentage,max,ood/xai-track1-rain-10,1,1,0,0,2,96,4,20,100,71
smoothgrad,avg_road_attention_percentage,max,ood/xai-track1-rain-10,1,1,0,0,3,96,4,20,100,71
smoothgrad,avg_road_attention_percentage,max,ood/xai-track1-rain-10,1,1,0,0,4,96,4,20,100,71
smoothgrad,avg_road_attention_percentage,max,ood/xai-track1-rain-10,1,1,0,0,5,96,4,20,100,71
smoothgrad,avg_road_attention_percentage,max,ood/xai-track1-rain-10,1,1,0,0,6,96,4,20,100,71
smoothgrad,avg_road_attention_percentage,max,ood/xai-track1-rain-100,2,2,0,0,1,96,4,33,100,83
smoothgrad,avg_road_attention_percentage,max,ood/xai-track1-rain-100,2,2,0,0,2,96,4,33,100,83
smoothgrad,avg_road_attention_percentage,max,ood/xai-track1-rain-100,2,2,0,0,3,96,4,33,100,83
smoothgrad,avg_road_attention_percentage,max,ood/xai-track1-rain-100,2,2,0,0,4,96,4,33,100,83
smoothgrad,avg_road_attention_percentage,max,ood/xai-track1-rain-100,2,2,0,0,5,96,4,33,100,83
